"decision","decision_basis","expansion","quest_id","node_count","source_addons","source_files","coordinates","criteria_ids","comments"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31396","1","HandyNotes_MistsOfPandariaTreasures","JadeForest.lua","51229999","","The Jade Forest"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31397","1","HandyNotes_MistsOfPandariaTreasures","JadeForest.lua","39400730","","Wodin's Mantid Shaker"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31399","2","HandyNotes_MistsOfPandariaTreasures","JadeForest.lua","38231394;46102920","","Ancient Pandaren Mining Pick"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31400","1","HandyNotes_MistsOfPandariaTreasures","JadeForest.lua","26223235","","Ancient Pandaren Tea Pot"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31401","1","HandyNotes_MistsOfPandariaTreasures","JadeForest.lua","31962775","","Lucky Pandaren Coin"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31402","2","HandyNotes_MistsOfPandariaTreasures","JadeForest.lua","46207120;47106740","","Ancient Jinyu Staff"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31403","3","HandyNotes_MistsOfPandariaTreasures","JadeForest.lua","41201390;41801760;43001160","","Hammer of Ten Thunders"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31404","1","HandyNotes_MistsOfPandariaTreasures","JadeForest.lua","23493505","","Pandaren Ritual Stone"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31405","1","HandyNotes_MistsOfPandariaTreasures","ValleyOfTheFourWinds.lua","23712833","",""
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31406","1","HandyNotes_MistsOfPandariaTreasures","ValleyOfTheFourWinds.lua","43603740","","Valley of the Four Winds"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31407","5","HandyNotes_MistsOfPandariaTreasures","ValleyOfTheFourWinds.lua","14903360;15402920;17503570;19004250;19103780","","Staff of the Hidden Master"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31408","1","HandyNotes_MistsOfPandariaTreasures","ValleyOfTheFourWinds.lua","75105510","","Saurok Stone Tablet"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31409","1","HandyNotes_MistsOfPandariaTreasures","KrasarangWilds.lua","50804930","","Pandaren Fishing Spear"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31410","1","HandyNotes_MistsOfPandariaTreasures","KrasarangWilds.lua","42409200","","Plankwalking Greaves"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31411","1","HandyNotes_MistsOfPandariaTreasures","KrasarangWilds.lua","52308870","","Recipe: Banana Infused Rum"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31412","2","HandyNotes_MistsOfPandariaTreasures","KunLaiSummit.lua","54706980;73107350","","Kun Lai Summit"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31413","2","HandyNotes_MistsOfPandariaTreasures","KunLaiSummit.lua","24106580;52907140","","Hozen Warrior Spear"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31414","1","HandyNotes_MistsOfPandariaTreasures","KunLaiSummit.lua","50366177","",""
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31415","1","HandyNotes_MistsOfPandariaTreasures","KunLaiSummit.lua","59405300","",""
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31416","1","HandyNotes_MistsOfPandariaTreasures","KunLaiSummit.lua","72013396","","Statue of Xuen"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31417","1","HandyNotes_MistsOfPandariaTreasures","KunLaiSummit.lua","44705240","","Tablet of Ren Yun"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31418","1","HandyNotes_MistsOfPandariaTreasures","KunLaiSummit.lua","36747982","",""
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31419","1","HandyNotes_MistsOfPandariaTreasures","KunLaiSummit.lua","52575154","","Rikktik's Tick Remover"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31420","1","HandyNotes_MistsOfPandariaTreasures","KunLaiSummit.lua","64234513","","Ancient Mogu Tablet"
"already_achievement_or_quest_backed","quest_or_criteria_already_present_in_collectionist_treasure_data","mists_of_pandaria","31421","1","HandyNotes_MistsOfPandariaTreasures","KunLaiSummit.lua","71206260","","Sturdy Yaungol Spear"
