"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url"
"129","245506","[DNT] Green Book of Runes - DO NOT USE","classic_theme","internal_hidden","","vendor","1 [DNT] Green Book of Runes - DO NOT USE Accents › Ornamental","","","","","","","Hidden, DNT, or source-less catalog row with no collectible acquisition","https://housing.wowdb.com/decor/129/dnt-green-book-of-runes-do-not-use-129/"
"518","245507","Studded Wooden Chair","classic_theme","internal_hidden","","vendor","3 Studded Wooden Chair Furnishings › Seating","","","","","","","Hidden, DNT, or source-less catalog row with no collectible acquisition","https://housing.wowdb.com/decor/518/studded-wooden-chair-518/"
"725","245404","Pillar Cobweb","classic_theme","acquisition_midnight_confirmed","midnight","vendor","1 Pillar Cobweb Accents › Ornamental Klasa (Founder's Point) 10 Lonomia (Razorwind Shores) 10","","","240465;256750","","","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/725/pillar-cobweb-725/"
"923","245504","Lordaeron Fence","classic_theme","acquisition_cata_confirmed","cataclysm","quest","1 Lordaeron Fence Structural › Misc Structural Lordaeron (Silverpine Forest) Captain Donald Adams (Undercity, Orgrimmar) 127 50","","27098","50304","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/923/lordaeron-fence-923/"
"924","245505","Lordaeron Fencepost","classic_theme","acquisition_cata_confirmed","cataclysm","quest","1 Lordaeron Fencepost Structural › Misc Structural Lordaeron (Silverpine Forest) Captain Donald Adams (Undercity, Orgrimmar) 85","","27098","50304","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/924/lordaeron-fencepost-924/"
"1183","245522","Grand Mask of Bwonsamdi, Loa of Graves","classic_theme","acquisition_bfa_confirmed","battle_for_azeroth","achievement","5 Grand Mask of Bwonsamdi, Loa of Graves Accents › Wall Hangings Zandalar Forever! T'lama (Zuldazar) 1200 War Resources","12479","","252326","","1560","","Current acquisition requires Battle for Azeroth content","https://housing.wowdb.com/decor/1183/grand-mask-of-bwonsamdi-loa-of-graves-1183/"
"1252","243290","Tauren Waterwheel","classic_theme","acquisition_legion_confirmed","legion","vendor","5 Tauren Waterwheel Structural › Large Structures Ransa Greyfeather (Highmountain) 800 & 2000 Order Resources","","","106902","","1220","","Current acquisition requires Legion content","https://housing.wowdb.com/decor/1252/tauren-waterwheel-1252/"
"1281","243335","Tauren Bluff Rug","classic_theme","acquisition_cata_confirmed","cataclysm","quest","3 Tauren Bluff Rug Accents › Floor Walk With The Earth Mother (Mulgore) Brave Tuho (Thunder Bluff) 160","","26397","50483","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1281/tauren-bluff-rug-1281/"
"1674","244852","Head of the Broodmother","classic_theme","acquisition_wrath_confirmed","wrath","achievement","3 Head of the Broodmother Accents › Wall Hangings More Dots! (25 player) Axle (Mudsprocket, Dustwallow Marsh) 250","4405","","23995","","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/1674/head-of-the-broodmother-1674/"
"1998","246108","Embellished Dwarven Tome","classic_theme","vendor_location_only_unassigned","","vendor","1 Embellished Dwarven Tome Accents › Ornamental Breana Bitterbrand (Twilight Highlands) 2000 Craw MacGraw (Twilight Highlands) 2000","","","253227;49386","","","","New housing vendor stock in an older zone does not establish Classic ownership","https://housing.wowdb.com/decor/1998/embellished-dwarven-tome-1998/"
"2018","246124","[DNT] Ornate Ironforge Bench - DO NOT USE - new asset coming","classic_theme","internal_hidden","","vendor","3 [DNT] Ornate Ironforge Bench - DO NOT USE - new asset coming Furnishings › Seating","","","","","","","Hidden, DNT, or source-less catalog row with no collectible acquisition","https://housing.wowdb.com/decor/2018/dnt-ornate-ironforge-bench-do-not-use-new-asset-coming-2018/"
"2226","246409","Shadowforge Grinding Wheel","classic_theme","acquisition_cata_confirmed","cataclysm","quest","3 Shadowforge Grinding Wheel Accents › Misc Accents Welcome to the Brotherhood (Searing Gorge) Master Smith Burninate (Searing Gorge) 700","","28064","14624","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/2226/shadowforge-grinding-wheel-2226/"
"2228","246411","Ironforge Bookcase","classic_theme","vendor_location_only_unassigned","","vendor","3 Ironforge Bookcase Furnishings › Storage Inge Brightview (The Library, Ironforge) 700","","","253232","","","","New housing vendor stock in an older zone does not establish Classic ownership","https://housing.wowdb.com/decor/2228/ironforge-bookcase-2228/"
"2229","246412","Small Ironforge Bookcase","classic_theme","vendor_location_only_unassigned","","vendor","1 Small Ironforge Bookcase Furnishings › Storage Inge Brightview (The Library, Ironforge) 450","","","253232","","","","New housing vendor stock in an older zone does not establish Classic ownership","https://housing.wowdb.com/decor/2229/small-ironforge-bookcase-2229/"
"2238","246421","Stolen Ironforge Seat","classic_theme","acquisition_bfa_confirmed","battle_for_azeroth","drop","1 Stolen Ironforge Seat Furnishings › Seating Encounter: Harlan Sweete (Freehold)","","","","","","","Current acquisition requires Battle for Azeroth content","https://housing.wowdb.com/decor/2238/stolen-ironforge-seat-2238/"
"2239","246422","Thelsamar Hanging Lantern","classic_theme","acquisition_cata_confirmed","cataclysm","quest","1 Thelsamar Hanging Lantern Lighting › Ceiling Lights Axis of Awful (Loch Modan) Drac Roughcut (Thelsamar, Loch Modan) 285","","26868","1465","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/2239/thelsamar-hanging-lantern-2239/"
