"decor_id","catalog_name","card_source_text","text_signal","draenor_profession_signal","wod_quest_ids","wod_npc_ids","wod_currency_ids","status","acquisition_expansion","classification_note","acquisition_source_url"
"126","Rolled Scroll","1 Rolled Scroll Accents › Ornamental Sergeant Crowler (Lunarfall)","True","False","","","","acquisition_midnight_confirmed","midnight","Displayed acquisition belongs to midnight content, not Warlords of Draenor","https://housing.wowdb.com/decor/126/rolled-scroll-126/"
"749","Hungry Human's Platter","1 Hungry Human's Platter Accents › Food and Drink Crafting: Cooking Profession: Draenor Cooking (80)","True","True","","","","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/749/hungry-humans-platter-749/"
"751","Wooden Mug","1 Wooden Mug Accents › Food and Drink Peter (Lunarfall) 50 & 100 Garrison Resources Vora Strongarm (Frostwall) 50 & 100 Garrison Resources","True","False","","88220;87312","824","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/751/wooden-mug-751/"
"925","Elodor Barrel","1 Elodor Barrel Furnishings › Storage Missive: Assault on Shattrath Harbor","False","False","38201","","","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/925/elodor-barrel-925/"
"927","Spherical Draenic Topiary","3 Spherical Draenic Topiary Nature › Bushes Vindicator Nuurem (Stormshield) 250 Garrison Resources","True","False","","85932","824","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/927/spherical-draenic-topiary-927/"
"928","Hanging Draenethyst Light","1 Hanging Draenethyst Light Lighting › Ceiling Lights The Dark Heart of Oshu'gun (Nagrand) Trader Caerel (Stormshield) 300 & 500 Apexis Crystal","True","False","35396","85950","823","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/928/hanging-draenethyst-light-928/"
"929","Karabor Bed","5 Karabor Bed Furnishings › Beds Crafting: Tailoring Profession: Draenor Tailoring (80)","True","True","","","","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/929/karabor-bed-929/"
"931","Draenic Storage Chest","3 Draenic Storage Chest Furnishings › Storage Maaria (Lunarfall) 500 & 1000 Apexis Crystal","True","False","","85427","823","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/931/draenic-storage-chest-931/"
"1317","Draenor Cookpot","3 Draenor Cookpot Accents › Food and Drink Kil'rip (Frostwall) 500 & 1000 Apexis Crystal","True","False","","87015","823","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1317/draenor-cookpot-1317/"
"1318","Frostwolf Bookcase","3 Frostwolf Bookcase Furnishings › Storage Last Steps (Frostfire Ridge) Sergeant Grimjaw (Frostwall) 240 & 500 Garrison Resources","True","False","","79774","824","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1318/frostwolf-bookcase-1318/"
"1321","Blackrock Bunkbed","5 Blackrock Bunkbed Furnishings › Beds Crafting: Leatherworking Profession: Draenor Leatherworking (80)","True","True","","","","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1321/blackrock-bunkbed-1321/"
"1322","Blackrock Strongbox","3 Blackrock Strongbox Furnishings › Storage Kil'rip (Frostwall) 500 & 1000 Apexis Crystal","True","False","","87015","823","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1322/blackrock-strongbox-1322/"
"1323","Orgrimmar Sconce","3 Orgrimmar Sconce Lighting › Wall Lights Encounter: Skulloc (Iron Docks)","True","False","","","","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1323/orgrimmar-sconce-1323/"
"1324","Horde Battle Emblem","1 Horde Battle Emblem Accents › Wall Hangings Encounter: Warlord Zaela","True","False","","","","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1324/horde-battle-emblem-1324/"
"1325","Blackrock Weapon Rack","3 Blackrock Weapon Rack Furnishings › Storage Crafting: Blacksmithing Profession: Draenor Blacksmithing (80)","True","True","","","","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1325/blackrock-weapon-rack-1325/"
"1326","Orc-Forged Weaponry","3 Orc-Forged Weaponry Furnishings › Storage Moz'def (Frostwall) 75 Iron Horde Scraps","True","False","","79812","","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1326/orc-forged-weaponry-1326/"
"1351","Orcish Fencepost","1 Orcish Fencepost Structural › Misc Structural Crafting: Inscription Profession: Draenor Inscription (80)","True","True","","","","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1351/orcish-fencepost-1351/"
"1352","Warsong Footrest","1 Warsong Footrest Furnishings › Seating Moz'def (Frostwall) 100 Garrison Resources","True","False","","79812","824","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1352/warsong-footrest-1352/"
"1353","Frostwolf Round Table","3 Frostwolf Round Table Furnishings › Tables and Desks Establish Your Garrison (Frostfire Ridge, Frostwall) Sergeant Grimjaw (Frostwall) 160 & 300 Garrison Resources","True","False","34586","79774","824","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1353/frostwolf-round-table-1353/"
"1354","Orcish Communal Stove","3 Orcish Communal Stove Accents › Food and Drink Krixel Pinchwhistle (Lunarfall) 250 Garrison Resources","True","False","","","824","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1354/orcish-communal-stove-1354/"
"1355","Frostwolf Axe-Dart Board","5 Frostwolf Axe-Dart Board Accents › Wall Hangings Krixel Pinchwhistle (Lunarfall) 150 Garrison Resources","True","False","","","824","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1355/frostwolf-axe-dart-board-1355/"
"1405","Orcish Fence","1 Orcish Fence Uncategorized › Uncategorized Crafting: Inscription Profession: Draenor Inscription (80)","True","True","","","","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1405/orcish-fence-1405/"
"1406","Frostwall Architect's Table","3 Frostwall Architect's Table Furnishings › Tables and Desks Crafting: Engineering Profession: Draenor Engineering (80)","True","True","","","","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1406/frostwall-architects-table-1406/"
"1407","Orcish Warlord's Planning Table","3 Orcish Warlord's Planning Table Furnishings › Tables and Desks My Very Own Fortress (Frostfire Ridge, Frostwall) Sergeant Grimjaw (Frostwall) 1500 Garrison Resources","True","False","36614","79774","824","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1407/orcish-warlords-planning-table-1407/"
"1408","Warsong Workbench","3 Warsong Workbench Furnishings › Tables and Desks Things Are Not Goren Our Way (Frostwall) Sergeant Grimjaw (Frostwall) 160 & 300 Garrison Resources","True","False","34192","79774","824","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1408/warsong-workbench-1408/"
"1409","Orcish Banded Barrel","1 Orcish Banded Barrel Furnishings › Storage Crafting: Inscription Profession: Draenor Inscription","True","True","","","","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1409/orcish-banded-barrel-1409/"
"1410","Wine Barrel","1 Wine Barrel Furnishings › Storage Crafting: Alchemy Profession: Draenor Alchemy (80)","True","True","","","","acquisition_wod_confirmed","wod","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1410/wine-barrel-1410/"
