recipe_spell_id,name,status,cause,current_source,upstream_file,upstream_line,next_action
163294,Darkmoon Card of Draenor,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,793,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
165304,Research: Midnight Ink,omitted_source_classification_conflict,nyi_heading_leaks_across_patch_boundary,,Inscription-upstream.lua,762,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
165456,Research: Lion's Ink,omitted_source_classification_conflict,nyi_heading_leaks_across_patch_boundary,,Inscription-upstream.lua,761,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
165460,Research: Jadefire Ink,omitted_source_classification_conflict,nyi_heading_leaks_across_patch_boundary,,Inscription-upstream.lua,760,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
165461,Research: Celestial Ink,omitted_source_classification_conflict,nyi_heading_leaks_across_patch_boundary,,Inscription-upstream.lua,756,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
165463,Research: Shimmering Ink,omitted_source_classification_conflict,nyi_heading_leaks_across_patch_boundary,,Inscription-upstream.lua,764,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
165464,Research: Ethereal Ink,omitted_source_classification_conflict,nyi_heading_leaks_across_patch_boundary,,Inscription-upstream.lua,757,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
165466,Research: Blackfallow Ink,omitted_source_classification_conflict,nyi_heading_leaks_across_patch_boundary,,Inscription-upstream.lua,755,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
165564,Research: Moonglow Ink,omitted_source_classification_conflict,nyi_heading_leaks_across_patch_boundary,,Inscription-upstream.lua,763,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
165804,Warmaster's Firestick,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,790,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
166356,Crystalfire Spellstaff,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,787,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
166359,Etched-Blade Warstaff,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,746,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
166363,Shadowtome,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,786,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
166432,Volatile Crystal,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,749,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
166669,Card of Omens,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,740,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
167950,Research: Warbinder's Ink,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,798,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
169081,War Paints,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,741,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
175389,Ocean Tarot,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,742,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
175390,Laughing Tarot,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,794,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
175392,Savage Tarot,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,792,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
176513,Draenor Merchant Order,omitted_source_classification_conflict,nyi_heading_leaks_across_patch_boundary,,Inscription-upstream.lua,795,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
177045,Secrets of Draenor Inscription,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,751,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
178497,Warbinder's Ink,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,788,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
178550,Draenic Mortar,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,789,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
182125,The Spirit of War,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,768,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
190381,Mass Mill Frostweed,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,773,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
190382,Mass Mill Fireweed,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,772,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
190383,Mass Mill Gorgrond Flytrap,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,774,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
190384,Mass Mill Starflower,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,776,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
190385,Mass Mill Nagrand Arrowbloom,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,775,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
190386,Mass Mill Talador Orchid,shipped_invalid_unavailable_basis,nyi_heading_leaks_across_patch_boundary,unavailable,Inscription-upstream.lua,777,Resolve current acquisition and removal flags; do not turn every affected recipe into a trainer recipe.
