"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url","tbc_achievement_ids","tbc_recipe_spell_ids","tbc_text_signal"
"3898","247761","Uncontested Battlefield Banner","global_acquisition_match","acquisition_tbc_confirmed","the_burning_crusade","achievement","3 Uncontested Battlefield Banner Accents › Ornamental Storm Capper Joruh (Orgrimmar) 400 Honor +1 more source","212","","254606","","1792","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/3898/uncontested-battlefield-banner-3898/","212","","False"
"3899","247762","Netherstorm Battlefield Flag","global_acquisition_match","acquisition_tbc_confirmed","the_burning_crusade","achievement","3 Netherstorm Battlefield Flag Accents › Ornamental Stormtrooper Joruh (Orgrimmar) 300 Honor +1 more source","213","","254606","","1792","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/3899/netherstorm-battlefield-flag-3899/","213","","False"
"11370","257035","Bronze Banner of the Exiled","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Bronze Banner of the Exiled Accents › Ornamental Crafting: Blacksmithing Profession: Outland Blacksmithing (60)","","","","1261347","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11370/bronze-banner-of-the-exiled-11370/","","1261347","False"
"11371","257036","Draenei Smith's Anvil","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Draenei Smith's Anvil Furnishings › Tables and Desks Crafting: Blacksmithing Profession: Outland Blacksmithing (60)","","","","1261383","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11371/draenei-smiths-anvil-11371/","","1261383","False"
"11372","257037","Draenei Holo-Dais","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","1 Draenei Holo-Dais Accents › Ornamental Crafting: Enchanting Profession: Outland Enchanting (60)","","","","1261331","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11372/draenei-holo-dais-11372/","","1261331","False"
"11373","257038","Draenei Holo-Path","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","1 Draenei Holo-Path Accents › Ornamental Crafting: Enchanting Profession: Outland Enchanting (60)","","","","1261340","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11373/draenei-holo-path-11373/","","1261340","False"
"11374","257039","Draenei Crystal Forge","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Draenei Crystal Forge Accents › Misc Accents Crafting: Blacksmithing Profession: Outland Blacksmithing (60)","","","","1261359","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11374/draenei-crystal-forge-11374/","","1261359","False"
"11431","257093","Aldor Stellar Console","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Aldor Stellar Console Miscellaneous › Miscellaneous - All Crafting: Enchanting Profession: Outland Enchanting (60)","","","","1262828","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11431/aldor-stellar-console-11431/","","1262828","False"
"11878","258190","Outland Mag'har Banner","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Outland Mag'har Banner Accents › Wall Hangings Crafting: Leatherworking Profession: Outland Leatherworking (60)","","","","1263819","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11878/outland-maghar-banner-11878/","","1263819","False"
"11879","258191","Arakkoa Decoy Scarecrow","tbc_theme","acquisition_tbc_confirmed","the_burning_crusade","crafted","3 Arakkoa Decoy Scarecrow Miscellaneous › Miscellaneous - All Crafting: Leatherworking Profession: Outland Leatherworking (60)","","","","1263818","","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/11879/arakkoa-decoy-scarecrow-11879/","","1263818","False"
