"decor_id","catalog_name","catalog_scope","status","acquisition_expansion","source_text","achievement_ids","quest_ids","npc_ids","spell_ids","currency_ids","item_ids","classification_note","acquisition_source_url"
"673","Moon-Blessed Storage Crate","legion_theme","acquisition_legion_confirmed","legion","Encounter: Darkheart Thicket - Shade of Xavius (Darkheart Thicket)","","","","","","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/673/moon-blessed-storage-crate-673/"
"674","Ancient Elven Highback Chair","legion_theme","acquisition_legion_confirmed","legion","Treasure: Glimmering Treasure Chest","","","","","","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/674/ancient-elven-highback-chair-674/"
"675","Cenarion Privacy Screen","legion_theme","acquisition_legion_confirmed","legion","Vendor: Selfira Ambergrove A H (Val'sharah) 1000 & 2000 Order Resources Dreamweavers (Exalted) • Legion Requirement: Reach Exalted with Dreamweavers to unlock this item for your housing collection. Vendor: Sylvia Hartshorn H (Val'sharah) 800 & 2000 Order Resources Dreamweavers (Exalted) • Legion Requirement: Reach Exalted with Dreamweavers to unlock this item for your housing collection.","","","106901;253387","","1220","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/675/cenarion-privacy-screen-675/"
"676","Deluxe Val'sharah Bed","legion_theme","acquisition_legion_confirmed","legion","Vendor: Selfira Ambergrove A H (Val'sharah) 700 Order Resources Dreamweavers • Legion","","","253387","","1220","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/676/deluxe-valsharah-bed-676/"
"677","Cenarion Rectangular Rug","legion_theme","acquisition_legion_confirmed","legion","Vendor: Selfira Ambergrove A H (Val'sharah) 500 & 750 Order Resources Dreamweavers (Honored) • Legion Requirement: Reach Honored with Dreamweavers to unlock this item for your housing collection. Vendor: Sylvia Hartshorn H (Val'sharah) 400 & 750 Order Resources Dreamweavers (Honored) • Legion Requirement: Reach Honored with Dreamweavers to unlock this item for your housing collection.","","","106901;253387","","1220","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/677/cenarion-rectangular-rug-677/"
"679","Kaldorei Desk","legion_theme","acquisition_legion_confirmed","legion","Vendor: Hilseth Travelstride A (Val'sharah) 300 Order Resources Legion","","","112634","","1220","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/679/kaldorei-desk-679/"
"750","Tirisgarde Book Tempest","legion_theme","acquisition_legion_confirmed","legion","Achievement: The Archmage's Campaign; Requirement: complete The Archmage's Campaign; Vendor: Jackson Watkins (Hall of the Guardian); Cost: 1500 Order Resources","42274","","112440","1238561","1220","245429","Requires the Legion mage class campaign and Legion Order Resources","https://housing.wowdb.com/decor/750/tirisgarde-book-tempest-750/"
"752","""Night on the Jeweled Estate"" Painting","legion_theme","acquisition_legion_confirmed","legion","Achievement: Good Suramaritan Requirement: The Good Suramaritan Achievement must be completed to unlock or purchase this item for your housing collection. Vendor: Jocenna A H (Suramar) 1000 & 2000 Order Resources The Nightfallen (Exalted) Requirement: Reach Exalted with The Nightfallen to unlock this item for your housing collection.","11124","","252969","","1220","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/752/night-on-the-jeweled-estate-painting-752/"
"926","Argussian Crate","full_catalog_source_scan","acquisition_legion_confirmed","legion","Drop: World Creatures Encounter: Seat of the Triumvirate - L'ura (The Seat of the Triumvirate)","","","","","","","Legion acquisition source found outside the Legion theme tag","https://housing.wowdb.com/decor/926/argussian-crate-926/"
"930","Draenic Bookcase","full_catalog_source_scan","acquisition_legion_confirmed","legion","Quest: A Non-Prophet Organization (Krokuun, Eredath) Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Toraan the Revered H (The Vindicaar) 640 Argussian Reach • Legion","","47691","127151","","","","Legion acquisition source found outside the Legion theme tag","https://housing.wowdb.com/decor/930/draenic-bookcase-930/"
"947","Dark Ship's Lantern","full_catalog_source_scan","acquisition_legion_confirmed","legion","Quest: A New Life for Undeath (Stormheim) Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Halenthos Brightstride A (Dalaran) 2000 Legion Quest: ""A New Life for Undeath""","","38882","252043","","","","Legion acquisition source found outside the Legion theme tag","https://housing.wowdb.com/decor/947/dark-ships-lantern-947/"
"1219","Suramar Dresser","legion_theme","acquisition_legion_confirmed","legion","Crafting: Inscription (Legion Inscription - Skill Level 80) Reagents Required: 30× Fel-Touched Lumber 25× Sallow Pigment 10× Roseate Pigment 6× Imbued Silkweave 15× Demonsteel Bar Profession: Legion Inscription (80)","","","","1260737","","124461;127004;129032;129034;251767","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/1219/suramar-dresser-1219/"
"1231","Stonebull Canoe","legion_theme","acquisition_legion_confirmed","legion","Vendor: Ransa Greyfeather A H (Highmountain) 400 & 750 Order Resources Highmountain Tribe (Honored) • Legion Requirement: Reach Honored with Highmountain Tribe to unlock this item for your housing collection.","","","106902","","1220","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/1231/stonebull-canoe-1231/"
"1232","Thunder Totem Brazier","legion_theme","acquisition_legion_confirmed","legion","Drop: Dargrul (Neltharion's Lair) Encounter: Neltharion's Lair - Dargrul the Underking","","","","","","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/1232/thunder-totem-brazier-1232/"
"1235","Whitewash River Basket","legion_theme","acquisition_legion_confirmed","legion","Quest: Moozy's Reunion Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Torv Dubstomp A H (Thunder Totem, Highmountain) 300 & 500 Order Resources Legion","","42590","108017","","1220","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/1235/whitewash-river-basket-1235/"
"1242","Tauren Leather Fence","legion_theme","acquisition_legion_confirmed","legion","Crafting: Leatherworking (Legion Patterns - Skill Level 80) Reagents Required: 20× Fel-Touched Lumber 5× Unbroken Claw 20× Stonehide Leather Profession: Legion Leatherworking (80)","","","","1260762","","124113;124438;251767","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/1242/tauren-leather-fence-1242/"
"1243","Tauren Fencepost","legion_theme","acquisition_legion_confirmed","legion","Crafting: Leatherworking (Legion Patterns - Skill Level 80) Reagents Required: 15× Fel-Touched Lumber 5× Unbroken Claw 10× Stonehide Leather Profession: Legion Leatherworking (80)","","","","1260765","","124113;124438;251767","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/1243/tauren-fencepost-1243/"
"1251","Large Highmountain Drum","legion_theme","acquisition_legion_confirmed","legion","Quest: Ceremonial Drums Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Torv Dubstomp A H (Thunder Totem, Highmountain) 300 & 500 Order Resources Legion","","42622","108017","","1220","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/1251/large-highmountain-drum-1251/"
"1252","Tauren Waterwheel","full_catalog_source_scan","acquisition_legion_confirmed","legion","Vendor: Ransa Greyfeather A H (Highmountain) 800 & 2000 Order Resources Highmountain Tribe (Exalted) • Legion Requirement: Reach Exalted with Highmountain Tribe to unlock this item for your housing collection.","","","106902","","1220","","Legion acquisition source found outside the Legion theme tag","https://housing.wowdb.com/decor/1252/tauren-waterwheel-1252/"
"1287","Warbrave's Brazier","legion_theme","acquisition_legion_confirmed","legion","Quest: The Backdoor (Highmountain) Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Torv Dubstomp A H (Thunder Totem, Highmountain) 500 & 750 Order Resources Legion","","39579","108017","","1220","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/1287/warbraves-brazier-1287/"
"1291","Tauren Vertical Windmill","legion_theme","acquisition_legion_confirmed","legion","Quest: The Underking Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Torv Dubstomp A H (Thunder Totem, Highmountain) 700 & 1000 Order Resources Legion","","39780","108017","","1220","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/1291/tauren-vertical-windmill-1291/"
"1292","Tauren Windmill","legion_theme","acquisition_legion_confirmed","legion","Vendor: Ransa Greyfeather A H (Highmountain) 560 & 1000 Order Resources Highmountain Tribe (Revered) • Legion Requirement: Reach Revered with Highmountain Tribe to unlock this item for your housing collection.","","","106902","","1220","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/1292/tauren-windmill-1292/"
"1293","Small Highmountain Drum","legion_theme","acquisition_legion_confirmed","legion","Vendor: Ransa Greyfeather A H (Highmountain) 240 & 500 Order Resources Highmountain Tribe (Friendly) • Legion Requirement: Reach Friendly with Highmountain Tribe to unlock this item for your housing collection.","","","106902","","1220","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/1293/small-highmountain-drum-1293/"
