"status","candidate_basis","acquisition_expansion","catalog_theme_expansion","decor_id","item_id","decor_name","source_text","classification_note","acquisition_source_url","item_name","item_expansion_id","flags","type","model_type","weight_cost"
"acquisition_shadowlands_confirmed","live_catalog_acquisition_audit","shadowlands","shadowlands","756","245501","Venthyr Tome of Unforgiven Sins","Vendor: Chachi the Artiste (Sinfall), 1500 Reservoir Anima","Acquisition vendor and currency are Shadowlands content","https://housing.wowdb.com/decor/?page=2&tags=shadowlands","Venthyr Tome of Unforgiven Sins","-3","3","1","1","1"
"acquisition_shadowlands_confirmed","live_catalog_acquisition_audit","shadowlands","shadowlands","2468","246705","Caramel Mint Noodle Dish","Crafting: Cooking; Profession: Shadowlands Cooking (60)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands","Caramel Mint Noodle Dish","8","3","1","1","1"
"acquisition_shadowlands_confirmed","live_catalog_acquisition_audit","shadowlands","shadowlands","4181","248125","Portal to Damnation","Achievement: Back from the Beyond; Vendor: Ve'nari (The Maw), 10000 Stygia","Acquisition requirements are Shadowlands content","https://housing.wowdb.com/decor/?page=2&tags=shadowlands","Portal to Damnation","-3","3","1","1","5"
"acquisition_shadowlands_confirmed","live_catalog_acquisition_audit","shadowlands","shadowlands","4405","248336","Stormwind Wooden Table","Quest: Welcome to Stormwind (59583); Vendor: Captain Lancy Revshon (Stormwind City), 285 gold","Requires the Exile's Reach new-player quest introduced with Shadowlands","https://housing.wowdb.com/decor/4405/stormwind-wooden-table-4405/","Stormwind Wooden Table","-3","3","1","1","3"
"acquisition_shadowlands_confirmed","live_catalog_acquisition_audit","shadowlands","shadowlands","11383","257048","Aspirant's Meditation Pool","Crafting: Blacksmithing; Profession: Shadowlands Blacksmithing (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands","Aspirant's Meditation Pool","8","3","1","1","5"
"acquisition_shadowlands_confirmed","live_catalog_acquisition_audit","shadowlands","shadowlands","11384","257049","Bejeweled Venthyr Chalice","Crafting: Blacksmithing; Profession: Shadowlands Blacksmithing (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands","Bejeweled Venthyr Chalice","8","3","1","1","1"
"acquisition_shadowlands_confirmed","live_catalog_acquisition_audit","shadowlands","shadowlands","11385","257050","Veil-Secured Animacone","Crafting: Alchemy; Profession: Shadowlands Alchemy (140)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?page=2&tags=shadowlands","Veil-Secured Animacone","8","3","1","1","3"
"acquisition_shadowlands_confirmed","live_catalog_acquisition_audit","shadowlands","shadowlands","11386","257051","Sintallow Candles","Crafting: Alchemy; Profession: Shadowlands Alchemy (140)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?page=2&tags=shadowlands","Sintallow Candles","8","3","1","1","1"
"acquisition_shadowlands_confirmed","live_catalog_acquisition_audit","shadowlands","shadowlands","11436","257098","Venthyr Anima Bottle","Crafting: Enchanting; Profession: Shadowlands Enchanting (90)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?page=2&tags=shadowlands","Venthyr Anima Bottle","8","3","1","1","1"
"acquisition_shadowlands_confirmed","live_catalog_acquisition_audit","shadowlands","shadowlands","11917","258235","Aspiring Soul's Chair","Crafting: Inscription; Profession: Shadowlands Inscription (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands","Aspiring Soul's Chair","8","3","1","1","3"
"acquisition_shadowlands_confirmed","live_catalog_acquisition_audit","shadowlands","shadowlands","11918","258237","Ardenweald Lamppost","Crafting: Enchanting; Profession: Shadowlands Enchanting (90)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands","Ardenweald Lamppost","8","3","1","1","3"
"acquisition_shadowlands_confirmed","live_catalog_acquisition_audit","shadowlands","shadowlands","11919","258238","Maldraxxian Crate","Crafting: Leatherworking; Profession: Shadowlands Leatherworking (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands","Maldraxxian Crate","8","3","1","1","3"
"acquisition_shadowlands_confirmed","live_catalog_acquisition_audit","shadowlands","shadowlands","11920","258239","Tome of Maldraxxian Rituals","Crafting: Inscription; Profession: Shadowlands Inscription (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?page=2&tags=shadowlands","Tome of Maldraxxian Rituals","8","3","1","1","1"
"acquisition_shadowlands_confirmed","live_catalog_acquisition_audit","shadowlands","shadowlands","11921","258240","Kyrian Anima Barrel","Crafting: Engineering; Profession: Shadowlands Engineering (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands","Kyrian Anima Barrel","8","3","1","1","1"
"acquisition_shadowlands_confirmed","live_catalog_acquisition_audit","shadowlands","shadowlands","11922","258242","Hollow Night Fae Shrine","Crafting: Inscription; Profession: Shadowlands Inscription (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands","Hollow Night Fae Shrine","8","3","1","1","5"
