"current_exists","currency_id","name","description","category_id","faction_id","max_quantity","source"
"True","1149","Sightless Eye","A rough, hand-minted coin. It bears a symbol similar to that of the Kirin Tor, with one key difference: the eye is closed.","141",,"5000","historical_collectible_source"
"True","1154","Shadowy Coins","Prized by pickpockets and marks alike. Can be spent in the Underbelly below Dalaran.","141",,"500","historical_collectible_source"
"True","1155","Ancient Mana","Concentrated magic from the ancient leylines beneath Suramar.","141",,"300","historical_collectible_source"
"True","1166","Timewarped Badge","Earned in Timewalking dungeons. Exchanged for goods from Timewalking Vendors in capitol cities.","22",,"0","historical_collectible_source"
"True","1220","Order Resources","Used to recruit troops, run missions, and research upgrades for your order hall.","141",,"0","historical_collectible_source"
"True","1226","Nethershard","A fragment of crystallized nether brought to Azeroth by the Legion.","141",,"0","historical_collectible_source"
"True","1275","Curious Coin","This unusual coin is warm to the touch and vibrates gently in your hand. Used to procure items from Xur'ios in Dalaran.","141",,"0","historical_collectible_source"
"True","1299","Brawler's Gold","Awarded to victors of the Brawler's Guild. Use it to purchase Rumble Cards and other world-altering items at the Brawler's Gold Exchange vendor.","141",,"5000","historical_collectible_source"
"True","1342","Legionfall War Supplies","Used to further the construction of valuable structures on the Broken Shore.","141",,"1000","historical_collectible_source"
"True","1379","Trial of Style Token","Earned by participating in the Trial of Style. Can be exchanged for transmoggable gear in most major cities.","1",,"200","historical_collectible_source"
"True","1416","Coins of Air","Evaporate into mist after a while.","141",,"2000000","historical_collectible_source"
"True","1508","Veiled Argunite","This dull-colored crystal is highly valued by ethereal traders, especially Thaumaturge Vashreen aboard the Vindicaar.","141",,"2000","historical_collectible_source"
