"decor_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","decor_spell_id","item_id","classification_note","acquisition_source_url"
"126","Rolled Scroll","wod_theme","acquisition_midnight_confirmed","midnight","vendor","Sources Vendor: Sergeant Crowler (Lunarfall) Copy Waypoint","","","88223","","","","1238355","245275","Displayed acquisition belongs to midnight content, not Warlords of Draenor","https://housing.wowdb.com/decor/126/rolled-scroll-126/"
"519","Orcish Wooden Bench","wod_theme","catalog_hidden_unobtainable","","drop","","","","","","","","1238562","245430","No current acquisition source is displayed","https://housing.wowdb.com/decor/519/orcish-wooden-bench-519/"
"749","Hungry Human's Platter","wod_theme","acquisition_wod_confirmed","wod","crafted","Sources Crafting: Cooking (Food of Draenor) Reagents Required: 5× Perfect Preservatives 8× Shadowmoon Lumber 5× Telmor-Aruuna Hard Cheese 5× Blackrock Barbecue 10× True Iron Ore Profession: Draenor Cooking (80)","","","","1266560;1260337","","259894;251766;115352;111449;109119","1238560","245428","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/749/hungry-humans-platter-749/"
"750","Tirisgarde Book Tempest","wod_theme","acquisition_legion_confirmed","legion","achievement","Sources Achievement: The Archmage's Campaign Requirement: The The Archmage's Campaign Achievement must be completed to unlock or purchase this item for your housing collection. Vendor: Jackson Watkins A H (Hall of the Guardian) 1500 Order Resources Legion Copy Waypoint","42274","","112440","","1220","","1238561","245429","Displayed acquisition belongs to legion content, not Warlords of Draenor","https://housing.wowdb.com/decor/750/tirisgarde-book-tempest-750/"
"751","Wooden Mug","wod_theme","acquisition_wod_confirmed","wod","vendor","Sources Vendor: Peter A (Lunarfall) 50 & 100 Garrison Resources Warlords of Draenor Copy Waypoint Vendor: Vora Strongarm (Frostwall) 50 & 100 Garrison Resources Warlords of Draenor Copy Waypoint","","","88220;87312","","824","","1227826","239162","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/751/wooden-mug-751/"
"925","Elodor Barrel","wod_theme","acquisition_wod_confirmed","wod","quest","Sources Quest: Missive: Assault on Shattrath Harbor Requirement: Complete this quest to unlock this item for your housing collection.","","38201","","","","","1230952","241043","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/925/elodor-barrel-925/"
"926","Argussian Crate","wod_theme","acquisition_legion_confirmed","legion","drop","Sources Drop: World Creatures Encounter: Seat of the Triumvirate - L'ura (The Seat of the Triumvirate)","","","","","","","1230953","241044","Displayed acquisition belongs to legion content, not Warlords of Draenor","https://housing.wowdb.com/decor/926/argussian-crate-926/"
"927","Spherical Draenic Topiary","wod_theme","acquisition_wod_confirmed","wod","vendor","Sources Vendor: Vindicator Nuurem A (Stormshield) 250 Garrison Resources Council of Exarchs (Friendly) • Warlords of Draenor Requirement: Reach Friendly with Council of Exarchs to unlock this item for your housing collection. Copy Waypoint","","","85932","","824","","1238553","245423","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/927/spherical-draenic-topiary-927/"
"928","Hanging Draenethyst Light","wod_theme","acquisition_wod_confirmed","wod","quest","Sources Quest: The Dark Heart of Oshu'gun (Nagrand) Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Trader Caerel A (Stormshield) 300 & 500 Apexis Crystal Warlords of Draenor Requires quest ""The Dark Heart of Oshu'gun"" Copy Waypoint","","35396","85950","","823","","1238557","245425","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/928/hanging-draenethyst-light-928/"
"929","Karabor Bed","wod_theme","acquisition_wod_confirmed","wod","crafted","Sources Crafting: Tailoring (Draenor Patterns) Reagents Required: 35× Shadowmoon Lumber 12× Cerulean Pigment 50× Sumptuous Fur Profession: Draenor Tailoring (80)","","","","1261232","","251766;114931;111557","1238551","245421","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/929/karabor-bed-929/"
"930","Draenic Bookcase","wod_theme","acquisition_legion_confirmed","legion","quest","Sources Quest: A Non-Prophet Organization (Krokuun, Eredath) Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Toraan the Revered H (The Vindicaar) 640 Argussian Reach • Legion Copy Waypoint","","47691","127151","","","","1238552","245422","Displayed acquisition belongs to legion content, not Warlords of Draenor","https://housing.wowdb.com/decor/930/draenic-bookcase-930/"
"931","Draenic Storage Chest","wod_theme","acquisition_wod_confirmed","wod","vendor","Sources Vendor: Maaria A (Lunarfall) 500 & 1000 Apexis Crystal Warlords of Draenor Copy Waypoint","","","85427","","823","","1238556","245424","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/931/draenic-storage-chest-931/"
"1118","Dark Iron Expedition Tent","wod_theme","acquisition_bfa_confirmed","bfa","quest","Sources Quest: Dark Iron Dwarves (Stormwind City, Blackrock Depths) Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Dedric Sleetshaper A (Dun Morogh) 1200 Vanilla Copy Waypoint","","53566","253235","","","","1238559","245427","Displayed acquisition belongs to bfa content, not Warlords of Draenor","https://housing.wowdb.com/decor/1118/dark-iron-expedition-tent-1118/"
"1216","Dark Iron Brazier","wod_theme","acquisition_cata_confirmed","cata","achievement","Sources Achievement: Kings Under the Mountain Requirement: The Kings Under the Mountain Achievement must be completed to unlock or purchase this item for your housing collection. Vendor: Dedric Sleetshaper A (Dun Morogh) 700 Vanilla Achievement: ""Kings under the Mountain"" Copy Waypoint","4859","","253235","","","","1238558","245426","Displayed acquisition belongs to cata content, not Warlords of Draenor","https://housing.wowdb.com/decor/1216/dark-iron-brazier-1216/"
"1315","Shadowforge Wooden Box","wod_theme","acquisition_cata_confirmed","cata","quest","Sources Quest: The Mountain-Lord's Support (Searing Gorge) Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Master Smith Burninate H (Searing Gorge) 150 Vanilla Quest: ""The Mountain-Lord's Support"" Copy Waypoint","","28035","14624","","","","1238433","245333","Displayed acquisition belongs to cata content, not Warlords of Draenor","https://housing.wowdb.com/decor/1315/shadowforge-wooden-box-1315/"
"1317","Draenor Cookpot","wod_theme","acquisition_wod_confirmed","wod","vendor","Sources Vendor: Kil'rip H (Frostwall) 500 & 1000 Apexis Crystal Laughing Skulls (Friendly) • Warlords of Draenor Requirement: Reach Friendly with Laughing Skulls to unlock this item for your housing collection. Copy Waypoint","","","87015","","823","","1238563","245431","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1317/draenor-cookpot-1317/"
"1318","Frostwolf Bookcase","wod_theme","acquisition_wod_confirmed","wod","vendor","Sources Quest: Last Steps (Frostfire Ridge) Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Sergeant Grimjaw H (Frostwall) 240 & 500 Garrison Resources Warlords of Draenor Copy Waypoint","","","79774","","824","","1238570","245438","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1318/frostwolf-bookcase-1318/"
"1319","Durotar Signal Brazier","wod_theme","catalog_hidden_unobtainable","","drop","","","","","","","","1238571","245439","No current acquisition source is displayed","https://housing.wowdb.com/decor/1319/durotar-signal-brazier-1319/"
"1320","Durotar Hanging Brazier","wod_theme","catalog_hidden_unobtainable","","drop","","","","","","","","1238573","245440","No current acquisition source is displayed","https://housing.wowdb.com/decor/1320/durotar-hanging-brazier-1320/"
"1321","Blackrock Bunkbed","wod_theme","acquisition_wod_confirmed","wod","crafted","Sources Crafting: Leatherworking (Draenor Patterns) Reagents Required: 40× Shadowmoon Lumber 5× Primal Spirit 15× Sumptuous Fur 45× Raw Beast Hide 20× True Iron Ore Profession: Draenor Leatherworking (80)","","","","1261081;1261122","","251766;120945;111557;110609;109119","1238564","245432","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1321/blackrock-bunkbed-1321/"
"1322","Blackrock Strongbox","wod_theme","acquisition_wod_confirmed","wod","vendor","Sources Vendor: Kil'rip H (Frostwall) 500 & 1000 Apexis Crystal Laughing Skulls (Friendly) • Warlords of Draenor Requirement: Reach Friendly with Laughing Skulls to unlock this item for your housing collection. Copy Waypoint","","","87015","","823","","1238565","245433","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1322/blackrock-strongbox-1322/"
"1323","Orgrimmar Sconce","wod_theme","acquisition_wod_confirmed","wod","drop","Sources Encounter: Iron Docks - Skulloc (Iron Docks)","","","","","","","1238566","245434","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1323/orgrimmar-sconce-1323/"
"1324","Horde Battle Emblem","wod_theme","acquisition_wod_confirmed","wod","drop","Sources Encounter: Upper Blackrock Spire - Warlord Zaela","","","","","","","1238567","245435","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1324/horde-battle-emblem-1324/"
"1325","Blackrock Weapon Rack","wod_theme","acquisition_wod_confirmed","wod","crafted","Sources Crafting: Blacksmithing (Draenor Plans) Reagents Required: 40× Shadowmoon Lumber 5× Savage Blood 15× Raw Beast Hide 30× Blackrock Ore Profession: Draenor Blacksmithing (80)","","","","1260988","","251766;118472;110609;109118","1238568","245436","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1325/blackrock-weapon-rack-1325/"
"1326","Orc-Forged Weaponry","wod_theme","acquisition_wod_confirmed","wod","vendor","Sources Vendor: Moz'def H (Frostwall) 75 Iron Horde Scraps Warlords of Draenor Copy Waypoint","","","79812","","","113681","1238569","245437","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1326/orc-forged-weaponry-1326/"
"1351","Orcish Fencepost","wod_theme","acquisition_wod_confirmed","wod","crafted","Sources Crafting: Inscription (Draenor Inscription) Reagents Required: 10× Shadowmoon Lumber 4× Sorcerous Earth 10× True Iron Ore Profession: Draenor Inscription (80)","","","","1269501;1269500;1260044;1260508","","251766;113263;109119","1238574","245441","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1351/orcish-fencepost-1351/"
"1352","Warsong Footrest","wod_theme","acquisition_wod_confirmed","wod","vendor","Sources Vendor: Moz'def H (Frostwall) 100 Garrison Resources Warlords of Draenor Copy Waypoint","","","79812","","824","","1238575","245442","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1352/warsong-footrest-1352/"
"1353","Frostwolf Round Table","wod_theme","acquisition_wod_confirmed","wod","quest","Sources Quest: Establish Your Garrison (Frostfire Ridge, Frostwall) Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Sergeant Grimjaw H (Frostwall) 160 & 300 Garrison Resources Warlords of Draenor Copy Waypoint","","34586","79774","","824","","1238576","245443","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1353/frostwolf-round-table-1353/"
"1354","Orcish Communal Stove","wod_theme","acquisition_wod_confirmed","wod","vendor","Sources Vendor: Krixel Pinchwhistle H (Lunarfall) 250 Garrison Resources Warlords of Draenor Copy Waypoint","","","86779","","824","","1238577","245444","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1354/orcish-communal-stove-1354/"
