"status","acquisition_expansion","catalog_theme_expansion","decor_id","item_id","decor_name","catalog_name","category","source_text","achievement_ids","quest_ids","npc_ids","spell_ids","currency_ids","classification_note","acquisition_source_url","item_name","item_expansion_id","flags","type","model_type","weight_cost"
"acquisition_dragonflight_confirmed","dragonflight","dragonflight","716","245285","Reliquary Storage Crate","Reliquary Storage Crate","Furnishings › Storage","Cataloger Jakes (Dragonscale Basecamp) 100 Dragon Isles Supplies Rae'ana (Dragonscale Basecamp) 100 Dragon Isles Supplies","","","188265;189226","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/716/reliquary-storage-crate-716/","Reliquary Storage Crate","-3","3","1","1","1"
"acquisition_dragonflight_confirmed","dragonflight","dragonflight","717","245287","Long Sin'dorei Rug","Long Sin'dorei Rug","Accents › Floor","Cataloger Jakes (Dragonscale Basecamp) 250 Dragon Isles Supplies Rae'ana (Dragonscale Basecamp) 250 Dragon Isles Supplies","","","188265;189226","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/717/long-sindorei-rug-717/","Long Sin'dorei Rug","-3","3","4","1","5"
"acquisition_dragonflight_confirmed","dragonflight","dragonflight","718","245288","Circular Sin'dorei Rug","Circular Sin'dorei Rug","Accents › Floor","Cataloger Jakes (Dragonscale Basecamp) 250 Dragon Isles Supplies Rae'ana (Dragonscale Basecamp) 250 Dragon Isles Supplies","","","188265;189226","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/718/circular-sindorei-rug-718/","Circular Sin'dorei Rug","-3","3","4","1","3"
"acquisition_dragonflight_confirmed","dragonflight","dragonflight","720","238975","Reliquary Telescope","Reliquary Telescope","Accents › Misc Accents","Cataloger Jakes (Dragonscale Basecamp) 750 Dragon Isles Supplies Rae'ana (Dragonscale Basecamp) 750 Dragon Isles Supplies","","","188265;189226","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/720/reliquary-telescope-720/","Reliquary Telescope","-3","3","1","1","1"
"acquisition_dragonflight_confirmed","dragonflight",,"857","245520","Gilnean Celebration Keg","Gilnean Celebration Keg",,"Reclamation of Gilneas; Marie Allen (Stormglen Village, Gilneas) 150; Samantha Buckley (Ruins of Gilneas) 150","19719","","211065;216888","","","The reward and vendor unlock require the Reclamation of Gilneas storyline added in Dragonflight patch 10.2.5 despite the Cataclysm theme tag","https://housing.wowdb.com/decor/857/gilnean-celebration-keg-857/","Gilnean Celebration Keg","-3","3","1","1","1"
"acquisition_dragonflight_confirmed","dragonflight",,"859","245516","Gilnean Bench","Gilnean Bench",,"Marie Allen (Stormglen Village, Gilneas) 75; Samantha Buckley (Ruins of Gilneas) 75; requires Reclamation of Gilneas","19719","","211065;216888","","","The post-Reclamation vendor inventory belongs to Dragonflight patch 10.2.5 despite the Cataclysm theme tag","https://housing.wowdb.com/decor/859/gilnean-bench-859/","Gilnean Bench","-3","3","1","1","3"
"acquisition_dragonflight_confirmed","dragonflight",,"860","245515","Gilnean Wooden Bed","Gilnean Wooden Bed",,"Marie Allen (Stormglen Village, Gilneas) 75; Samantha Buckley (Ruins of Gilneas) 75; requires Reclamation of Gilneas","19719","","211065;216888","","","The post-Reclamation vendor inventory belongs to Dragonflight patch 10.2.5 despite the Cataclysm theme tag","https://housing.wowdb.com/decor/860/gilnean-wooden-bed-860/","Gilnean Wooden Bed","-3","3","1","1","3"
"acquisition_dragonflight_confirmed","dragonflight","dragonflight","1177","245283","Blood Elven Candelabra","Blood Elven Candelabra","Lighting › Large Lights","Cataloger Jakes (Dragonscale Basecamp) 400 Dragon Isles Supplies Rae'ana (Dragonscale Basecamp) 400 Dragon Isles Supplies","","","188265;189226","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/1177/blood-elven-candelabra-1177/","Blood Elven Candelabra","-3","3","1","1","1"
"acquisition_dragonflight_confirmed","dragonflight","dragonflight","1181","245286","Rectangular Sin'dorei Rug","Rectangular Sin'dorei Rug","Accents › Floor","Cataloger Jakes (Dragonscale Basecamp) 250 Dragon Isles Supplies Rae'ana (Dragonscale Basecamp) 250 Dragon Isles Supplies","","","188265;189226","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/1181/rectangular-sindorei-rug-1181/","Rectangular Sin'dorei Rug","-3","3","4","1","5"
"acquisition_dragonflight_confirmed","dragonflight",,"1693","245259","Small Val'sharah Bookcase","Small Val'sharah Bookcase",,"Dreamy Inspiration requires purchasing a Filigree Moon Lamp from Ellandrieth in Bel'ameth for Dragon Isles Supplies","","92577","216285;252312","","2003","The reward's acquisition objective is Dragonflight content despite the Legion theme tag and later Pawdo vendor","https://housing.wowdb.com/decor/1693/small-valsharah-bookcase-1693/","Small Val'sharah Bookcase","-3","3","1","1","1"
