"status","candidate_basis","acquisition_expansion","catalog_scope","decor_id","item_id","decor_name","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url","item_name","item_expansion_id","flags","type","model_type","weight_cost"
"acquisition_wod_confirmed","live_catalog_acquisition_audit","wod","wod_theme","749","245428","Hungry Human's Platter","Sources Crafting: Cooking (Food of Draenor) Reagents Required: 5× Perfect Preservatives 8× Shadowmoon Lumber 5× Telmor-Aruuna Hard Cheese 5× Blackrock Barbecue 10× True Iron Ore Profession: Draenor Cooking (80)","","","","1266560;1260337","","259894;251766;115352;111449;109119","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/749/hungry-humans-platter-749/","Hungry Human's Platter","5","3","1","1","1"
"acquisition_wod_confirmed","live_catalog_acquisition_audit","wod","wod_theme","751","239162","Wooden Mug","Sources Vendor: Peter A (Lunarfall) 50 & 100 Garrison Resources Warlords of Draenor Copy Waypoint Vendor: Vora Strongarm (Frostwall) 50 & 100 Garrison Resources Warlords of Draenor Copy Waypoint","","","88220;87312","","824","","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/751/wooden-mug-751/","Wooden Mug","-3","3","1","1","1"
"acquisition_wod_confirmed","live_catalog_acquisition_audit","wod","wod_theme","925","241043","Elodor Barrel","Sources Quest: Missive: Assault on Shattrath Harbor Requirement: Complete this quest to unlock this item for your housing collection.","","38201","","","","","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/925/elodor-barrel-925/","Elodor Barrel","-3","3","1","1","1"
"acquisition_wod_confirmed","live_catalog_acquisition_audit","wod","wod_theme","927","245423","Spherical Draenic Topiary","Sources Vendor: Vindicator Nuurem A (Stormshield) 250 Garrison Resources Council of Exarchs (Friendly) • Warlords of Draenor Requirement: Reach Friendly with Council of Exarchs to unlock this item for your housing collection. Copy Waypoint","","","85932","","824","","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/927/spherical-draenic-topiary-927/","Spherical Draenic Topiary","-3","3","1","1","3"
"acquisition_wod_confirmed","live_catalog_acquisition_audit","wod","wod_theme","928","245425","Hanging Draenethyst Light","Sources Quest: The Dark Heart of Oshu'gun (Nagrand) Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Trader Caerel A (Stormshield) 300 & 500 Apexis Crystal Warlords of Draenor Requires quest ""The Dark Heart of Oshu'gun"" Copy Waypoint","","35396","85950","","823","","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/928/hanging-draenethyst-light-928/","Hanging Draenethyst Light","-3","3","3","1","1"
"acquisition_wod_confirmed","live_catalog_acquisition_audit","wod","wod_theme","929","245421","Karabor Bed","Sources Crafting: Tailoring (Draenor Patterns) Reagents Required: 35× Shadowmoon Lumber 12× Cerulean Pigment 50× Sumptuous Fur Profession: Draenor Tailoring (80)","","","","1261232","","251766;114931;111557","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/929/karabor-bed-929/","Karabor Bed","5","3","1","1","5"
"acquisition_wod_confirmed","live_catalog_acquisition_audit","wod","wod_theme","931","245424","Draenic Storage Chest","Sources Vendor: Maaria A (Lunarfall) 500 & 1000 Apexis Crystal Warlords of Draenor Copy Waypoint","","","85427","","823","","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/931/draenic-storage-chest-931/","Draenic Storage Chest","-3","3","1","1","3"
"acquisition_wod_confirmed","live_catalog_acquisition_audit","wod","wod_theme","1317","245431","Draenor Cookpot","Sources Vendor: Kil'rip H (Frostwall) 500 & 1000 Apexis Crystal Laughing Skulls (Friendly) • Warlords of Draenor Requirement: Reach Friendly with Laughing Skulls to unlock this item for your housing collection. Copy Waypoint","","","87015","","823","","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1317/draenor-cookpot-1317/","Draenor Cookpot","-3","35","1","1","3"
"acquisition_wod_confirmed","live_catalog_acquisition_audit","wod","wod_theme","1318","245438","Frostwolf Bookcase","Sources Quest: Last Steps (Frostfire Ridge) Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Sergeant Grimjaw H (Frostwall) 240 & 500 Garrison Resources Warlords of Draenor Copy Waypoint","","","79774","","824","","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1318/frostwolf-bookcase-1318/","Frostwolf Bookcase","-3","3","1","1","3"
"acquisition_wod_confirmed","live_catalog_acquisition_audit","wod","wod_theme","1321","245432","Blackrock Bunkbed","Sources Crafting: Leatherworking (Draenor Patterns) Reagents Required: 40× Shadowmoon Lumber 5× Primal Spirit 15× Sumptuous Fur 45× Raw Beast Hide 20× True Iron Ore Profession: Draenor Leatherworking (80)","","","","1261081;1261122","","251766;120945;111557;110609;109119","Displayed acquisition uses Warlords of Draenor content","https://housing.wowdb.com/decor/1321/blackrock-bunkbed-1321/","Blackrock Bunkbed","5","3","1","1","5"
