"status","candidate_basis","acquisition_expansion","catalog_scope","decor_id","item_id","decor_name","source_text","achievement_ids","quest_ids","npc_ids","spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url","item_name","item_expansion_id","flags","type","model_type","weight_cost"
"acquisition_legion_confirmed","live_catalog_acquisition_audit","legion","legion_theme","673","238857","Moon-Blessed Storage Crate","Encounter: Darkheart Thicket - Shade of Xavius (Darkheart Thicket)","","","","","","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/673/moon-blessed-storage-crate-673/","Moon-Blessed Storage Crate","-3","3","1","1","1"
"acquisition_legion_confirmed","live_catalog_acquisition_audit","legion","legion_theme","674","245449","Ancient Elven Highback Chair","Treasure: Glimmering Treasure Chest","","","","","","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/674/ancient-elven-highback-chair-674/","Ancient Elven Highback Chair","-3","3","1","1","1"
"acquisition_legion_confirmed","live_catalog_acquisition_audit","legion","legion_theme","675","238859","Cenarion Privacy Screen","Vendor: Selfira Ambergrove A H (Val'sharah) 1000 & 2000 Order Resources Dreamweavers (Exalted) • Legion Requirement: Reach Exalted with Dreamweavers to unlock this item for your housing collection. Vendor: Sylvia Hartshorn H (Val'sharah) 800 & 2000 Order Resources Dreamweavers (Exalted) • Legion Requirement: Reach Exalted with Dreamweavers to unlock this item for your housing collection.","","","106901;253387","","1220","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/675/cenarion-privacy-screen-675/","Cenarion Privacy Screen","-3","3","1","1","3"
"acquisition_legion_confirmed","live_catalog_acquisition_audit","legion","legion_theme","676","238860","Deluxe Val'sharah Bed","Vendor: Selfira Ambergrove A H (Val'sharah) 700 Order Resources Dreamweavers • Legion","","","253387","","1220","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/676/deluxe-valsharah-bed-676/","Deluxe Val'sharah Bed","-3","3","1","1","3"
"acquisition_legion_confirmed","live_catalog_acquisition_audit","legion","legion_theme","677","238861","Cenarion Rectangular Rug","Vendor: Selfira Ambergrove A H (Val'sharah) 500 & 750 Order Resources Dreamweavers (Honored) • Legion Requirement: Reach Honored with Dreamweavers to unlock this item for your housing collection. Vendor: Sylvia Hartshorn H (Val'sharah) 400 & 750 Order Resources Dreamweavers (Honored) • Legion Requirement: Reach Honored with Dreamweavers to unlock this item for your housing collection.","","","106901;253387","","1220","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/677/cenarion-rectangular-rug-677/","Cenarion Rectangular Rug","-3","3","4","1","5"
"acquisition_legion_confirmed","live_catalog_acquisition_audit","legion","legion_theme","679","238863","Kaldorei Desk","Vendor: Hilseth Travelstride A (Val'sharah) 300 Order Resources Legion","","","112634","","1220","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/679/kaldorei-desk-679/","Kaldorei Desk","-3","3","1","1","3"
"acquisition_legion_confirmed","live_catalog_acquisition_audit","legion","legion_theme","750","245429","Tirisgarde Book Tempest","Achievement: The Archmage's Campaign; Requirement: complete The Archmage's Campaign; Vendor: Jackson Watkins (Hall of the Guardian); Cost: 1500 Order Resources","42274","","112440","1238561","1220","245429","Requires the Legion mage class campaign and Legion Order Resources","https://housing.wowdb.com/decor/750/tirisgarde-book-tempest-750/","Tirisgarde Book Tempest","-3","3","1","1","3"
"acquisition_legion_confirmed","live_catalog_acquisition_audit","legion","legion_theme","752","245448","""Night on the Jeweled Estate"" Painting","Achievement: Good Suramaritan Requirement: The Good Suramaritan Achievement must be completed to unlock or purchase this item for your housing collection. Vendor: Jocenna A H (Suramar) 1000 & 2000 Order Resources The Nightfallen (Exalted) Requirement: Reach Exalted with The Nightfallen to unlock this item for your housing collection.","11124","","252969","","1220","","Displayed acquisition source is Legion content","https://housing.wowdb.com/decor/752/night-on-the-jeweled-estate-painting-752/","""Night on the Jeweled Estate"" Painting","-3","3","2","1","1"
"acquisition_legion_confirmed","live_catalog_acquisition_audit","legion","full_catalog_source_scan","926","241044","Argussian Crate","Drop: World Creatures Encounter: Seat of the Triumvirate - L'ura (The Seat of the Triumvirate)","","","","","","","Legion acquisition source found outside the Legion theme tag","https://housing.wowdb.com/decor/926/argussian-crate-926/","Argussian Crate","-3","3","1","1","1"
"acquisition_legion_confirmed","live_catalog_acquisition_audit","legion","full_catalog_source_scan","930","245422","Draenic Bookcase","Quest: A Non-Prophet Organization (Krokuun, Eredath) Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Toraan the Revered H (The Vindicaar) 640 Argussian Reach • Legion","","47691","127151","","","","Legion acquisition source found outside the Legion theme tag","https://housing.wowdb.com/decor/930/draenic-bookcase-930/","Draenic Bookcase","-3","3","1","1","3"
