"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url"
"129","245506","[DNT] Green Book of Runes - DO NOT USE","classic_theme","internal_hidden","","vendor","1 [DNT] Green Book of Runes - DO NOT USE Accents › Ornamental","","","","","","","Hidden, DNT, or source-less catalog row with no collectible acquisition","https://housing.wowdb.com/decor/129/dnt-green-book-of-runes-do-not-use-129/"
"518","245507","Studded Wooden Chair","classic_theme","internal_hidden","","vendor","3 Studded Wooden Chair Furnishings › Seating","","","","","","","Hidden, DNT, or source-less catalog row with no collectible acquisition","https://housing.wowdb.com/decor/518/studded-wooden-chair-518/"
"725","245404","Pillar Cobweb","classic_theme","acquisition_midnight_confirmed","midnight","vendor","1 Pillar Cobweb Accents › Ornamental Klasa (Founder's Point) 10 Lonomia (Razorwind Shores) 10","","","240465;256750","","","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/725/pillar-cobweb-725/"
"854","245502","Brill Coffin","classic_theme","acquisition_classic_confirmed","classic","crafted","3 Brill Coffin Furnishings › Storage Crafting: Inscription Profession: Classic Inscription (240)","","","","1261572","","","Current acquisition requires original World of Warcraft content","https://housing.wowdb.com/decor/854/brill-coffin-854/"
"922","245503","Brill Coffin Lid","classic_theme","acquisition_classic_confirmed","classic","crafted","3 Brill Coffin Lid Furnishings › Storage Crafting: Inscription Profession: Classic Inscription (240)","","","","1261549","","","Current acquisition requires original World of Warcraft content","https://housing.wowdb.com/decor/922/brill-coffin-lid-922/"
"923","245504","Lordaeron Fence","classic_theme","acquisition_cata_confirmed","cataclysm","quest","1 Lordaeron Fence Structural › Misc Structural Lordaeron (Silverpine Forest) Captain Donald Adams (Undercity, Orgrimmar) 127 50","","27098","50304","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/923/lordaeron-fence-923/"
"924","245505","Lordaeron Fencepost","classic_theme","acquisition_cata_confirmed","cataclysm","quest","1 Lordaeron Fencepost Structural › Misc Structural Lordaeron (Silverpine Forest) Captain Donald Adams (Undercity, Orgrimmar) 85","","27098","50304","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/924/lordaeron-fencepost-924/"
"1183","245522","Grand Mask of Bwonsamdi, Loa of Graves","classic_theme","acquisition_bfa_confirmed","battle_for_azeroth","achievement","5 Grand Mask of Bwonsamdi, Loa of Graves Accents › Wall Hangings Zandalar Forever! T'lama (Zuldazar) 1200 War Resources","12479","","252326","","1560","","Current acquisition requires Battle for Azeroth content","https://housing.wowdb.com/decor/1183/grand-mask-of-bwonsamdi-loa-of-graves-1183/"
"1252","243290","Tauren Waterwheel","classic_theme","acquisition_legion_confirmed","legion","vendor","5 Tauren Waterwheel Structural › Large Structures Ransa Greyfeather (Highmountain) 800 & 2000 Order Resources","","","106902","","1220","","Current acquisition requires Legion content","https://housing.wowdb.com/decor/1252/tauren-waterwheel-1252/"
"1281","243335","Tauren Bluff Rug","classic_theme","acquisition_cata_confirmed","cataclysm","quest","3 Tauren Bluff Rug Accents › Floor Walk With The Earth Mother (Mulgore) Brave Tuho (Thunder Bluff) 160","","26397","50483","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1281/tauren-bluff-rug-1281/"
"1282","243336","Elder Rise Rug","classic_theme","acquisition_classic_confirmed","classic","crafted","3 Elder Rise Rug Accents › Floor Crafting: Tailoring Profession: Classic Tailoring (240)","","","","1261688","","","Current acquisition requires original World of Warcraft content","https://housing.wowdb.com/decor/1282/elder-rise-rug-1282/"
"1674","244852","Head of the Broodmother","classic_theme","acquisition_wrath_confirmed","wrath","achievement","3 Head of the Broodmother Accents › Wall Hangings More Dots! (25 player) Axle (Mudsprocket, Dustwallow Marsh) 250","4405","","23995","","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/1674/head-of-the-broodmother-1674/"
"1998","246108","Embellished Dwarven Tome","classic_theme","vendor_location_only_unassigned","","vendor","1 Embellished Dwarven Tome Accents › Ornamental Breana Bitterbrand (Twilight Highlands) 2000 Craw MacGraw (Twilight Highlands) 2000","","","253227;49386","","","","New housing vendor stock in an older zone does not establish Classic ownership","https://housing.wowdb.com/decor/1998/embellished-dwarven-tome-1998/"
"2001","246111","Shadowforge Sconce","classic_theme","acquisition_classic_confirmed","classic","crafted","1 Shadowforge Sconce Lighting › Wall Lights Crafting: Blacksmithing Profession: Classic Blacksmithing (240)","","","","1261497","","","Current acquisition requires original World of Warcraft content","https://housing.wowdb.com/decor/2001/shadowforge-sconce-2001/"
"2018","246124","[DNT] Ornate Ironforge Bench - DO NOT USE - new asset coming","classic_theme","internal_hidden","","vendor","3 [DNT] Ornate Ironforge Bench - DO NOT USE - new asset coming Furnishings › Seating","","","","","","","Hidden, DNT, or source-less catalog row with no collectible acquisition","https://housing.wowdb.com/decor/2018/dnt-ornate-ironforge-bench-do-not-use-new-asset-coming-2018/"
"2226","246409","Shadowforge Grinding Wheel","classic_theme","acquisition_cata_confirmed","cataclysm","quest","3 Shadowforge Grinding Wheel Accents › Misc Accents Welcome to the Brotherhood (Searing Gorge) Master Smith Burninate (Searing Gorge) 700","","28064","14624","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/2226/shadowforge-grinding-wheel-2226/"
