"status","current_exists","currency_id","name","description","category_id","faction_id","max_quantity","flags"
"mop_collectible_requirement","True","402","Ironpaw Token","Represents your credit with the Ironpaw family of cooks. Can be redeemed for Cooking ingredients and other things at the Stockmaster in Halfhill Market.","1",,"0","0"
"mop_collectible_requirement","True","676","Pandaren Archaeology Fragment","","82",,"200","34"
"mop_collectible_requirement","True","677","Mogu Archaeology Fragment","","82",,"200","34"
"mop_collectible_requirement","True","697","Elder Charm of Good Fortune","Possession of the Elder Charm of Good Fortune allows its lucky owner to risk a coin to receive a bonus reward from Mogu'shan Vaults, Heart of Fear, Terrace of Endless Spring, Sha of Anger, or Salyis' Warband.","133",,"20","2114"
"mop_collectible_requirement","True","738","Lesser Charm of Good Fortune","Possession of the Lesser Charms of Good Fortune will result in great happiness and the eventual conversion into Warforged Seals, which allow players to risk a coin to receive a bonus reward from raid encounters.","133",,"0","64"
"mop_collectible_requirement","True","752","Mogu Rune of Fate","Possession of the Mogu Rune of Fate allows its lucky owner to risk a rune to receive a bonus reward from the Throne of Thunder, Nalak or Oondasta.","133",,"20","2"
"mop_collectible_requirement","True","754","Mantid Archaeology Fragment","","82",,"200","34"
"mop_collectible_requirement","True","776","Warforged Seal","Possession of the Warforged Seal allows its lucky owner to risk a seal to receive a bonus reward from the Siege of Orgrimmar, the Celestial Trials, and Ordos.","133",,"20","2"
"mop_collectible_requirement","True","777","Timeless Coin","You feel the shadowy fingers of previous and future owners of this coin playing across your hand, as if time itself blurs. Spend upon the Timeless Isle to earn powerful and fluid rewards.","133",,"0","66"
"mop_collectible_requirement","True","789","Bloody Coin","Pulled from the steaming corpses of foes vanquished in the mists of the Timeless Isle.","133",,"0","66"
