"status","current_exists","achievement_id","title","description","category_id","category_name","criteria_tree_id","flags","points"
"classic_category_confirmed","True","73","Disgracin' The Basin","Assault 3 bases in a single Arathi Basin battle.","14802","Arathi Basin","7709","0","10"
"classic_category_confirmed","True","154","Arathi Basin Victory","Win Arathi Basin.","14802","Arathi Basin","2065","0","10"
"classic_category_confirmed","True","155","Arathi Basin Veteran","Complete 100 victories in Arathi Basin.","14802","Arathi Basin","4715","0","10"
"classic_category_confirmed","True","156","Territorial Dominance","Win 10 Arathi Basin matches while controlling all 5 flags.","14802","Arathi Basin","117","0","10"
"classic_category_confirmed","True","157","To The Rescue!","Come to the defense of a base in Arathi Basin 50 times by recapping the flag.","14802","Arathi Basin","5243","0","10"
"classic_category_confirmed","True","158","Me and the Cappin' Makin' it Happen","Take 50 flags in Arathi Basin.","14802","Arathi Basin","1076","0","10"
"classic_category_confirmed","True","159","Let's Get This Done","Win Arathi Basin in 6 minutes.","14802","Arathi Basin","1079","0","10"
"classic_category_confirmed","True","161","Resilient Victory","Overcome a 500 resource disadvantage in a match of Arathi Basin and claim victory.","14802","Arathi Basin","4405","0","10"
"classic_category_confirmed","True","162","We Had It All Along *cough*","Win Arathi Basin by 50 points or less.","14802","Arathi Basin","129","0","10"
"classic_category_confirmed","True","165","Arathi Basin Perfection","Win Arathi Basin with a score of 1600 to 0.","14802","Arathi Basin","881","0","20"
"classic_category_confirmed","True","166","Warsong Gulch Victory","Win Warsong Gulch.","14804","Warsong Gulch","419","0","10"
"classic_category_confirmed","True","167","Warsong Gulch Veteran","Complete 100 victories in Warsong Gulch.","14804","Warsong Gulch","422","0","10"
"classic_category_confirmed","True","168","Warsong Gulch Perfection","Win Warsong Gulch with a score of 3 to 0.","14804","Warsong Gulch","9102","0","10"
"classic_category_confirmed","True","199","Capture the Flag","Personally carry and capture the flag in Warsong Gulch.","14804","Warsong Gulch","3500","0","10"
"classic_category_confirmed","True","200","Persistent Defender","Return 50 flags as a defender in Warsong Gulch.","14804","Warsong Gulch","2383","0","10"
