"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url"
"2453","246686","Grummle Sleeping Bag","mop_theme","acquisition_midnight_confirmed","midnight","vendor","3 Grummle Sleeping Bag Furnishings › Beds Brother Dovetail (Razorwind Shores) Cursed Keepsake","","","249684;262726","","","","Midnight acquisition; Pandaria theme or vendor location alone does not assign ownership","https://housing.wowdb.com/decor/2453/grummle-sleeping-bag-2453/"
"2495","246741","Grummle Bedroll","mop_theme","acquisition_midnight_confirmed","midnight","vendor","1 Grummle Bedroll Furnishings › Beds Brother Dovetail (Razorwind Shores) Cursed Keepsake","","","249684;262726","","","","Midnight acquisition; Pandaria theme or vendor location alone does not assign ownership","https://housing.wowdb.com/decor/2495/grummle-bedroll-2495/"
"3834","247664","Jade Temple Incense Burner","mop_theme","catalog_hidden_unobtainable","","vendor","3 Jade Temple Incense Burner Accents › Ornamental","","","","","","","Hidden catalog row with no current acquisition source","https://housing.wowdb.com/decor/3834/jade-temple-incense-burner-3834/"
"3879","247739","[DNT] Kun-Lai Lacquered Rickshaw - do not use - new asset","mop_theme","internal_dnt","","quest","5 [DNT] Kun-Lai Lacquered Rickshaw - do not use - new asset Miscellaneous › Miscellaneous - All The Leader Hozen Jaluu the Generous (Either Shrine in Vale of Eternal Blossoms) 1600","","30612","59908","","","","Internal DNT or duplicate row","https://housing.wowdb.com/decor/3879/dnt-kun-lai-lacquered-rickshaw-do-not-use-new-asset-3879/"
"3882","247742","Timeless Dumpling Cart","mop_theme","catalog_hidden_unobtainable","","vendor","3 Timeless Dumpling Cart Miscellaneous › Miscellaneous - All","","","","","","","Hidden catalog row with no current acquisition source","https://housing.wowdb.com/decor/3882/timeless-dumpling-cart-3882/"
"3883","247743","[DNT] Hanging Paper Lanterns - do not use - duplicate","mop_theme","internal_dnt","","vendor","100 [DNT] Hanging Paper Lanterns - do not use - duplicate Lighting › Ceiling Lights","","","","","","","Internal DNT or duplicate row","https://housing.wowdb.com/decor/3883/dnt-hanging-paper-lanterns-do-not-use-duplicate-3883/"
"4048","248081","Pandaren Target Dummy","mop_theme","catalog_hidden_unobtainable","","vendor","3 Pandaren Target Dummy Miscellaneous › Miscellaneous - All","","","","","","","Hidden catalog row with no current acquisition source","https://housing.wowdb.com/decor/4048/pandaren-target-dummy-4048/"
"4424","248402","Grummle Kafa Refinery","mop_theme","acquisition_midnight_confirmed","midnight","vendor","5 Grummle Kafa Refinery Miscellaneous › Miscellaneous - All Brother Dovetail (Razorwind Shores) Cursed Keepsake","","","249684;262726","","","","Midnight acquisition; Pandaria theme or vendor location alone does not assign ownership","https://housing.wowdb.com/decor/4424/grummle-kafa-refinery-4424/"
"4425","248403","Grummle Tent","mop_theme","acquisition_midnight_confirmed","midnight","vendor","5 Grummle Tent Structural › Large Structures Brother Dovetail (Razorwind Shores) Cursed Keepsake","","","249684;262726","","","","Midnight acquisition; Pandaria theme or vendor location alone does not assign ownership","https://housing.wowdb.com/decor/4425/grummle-tent-4425/"
"5112","248935","Five Dawns Weapon Rack","mop_theme","acquisition_legion_confirmed","legion","vendor","3 Five Dawns Weapon Rack Furnishings › Storage Caydori Brightstar (Mandori Village) 500 Order Resources","","","112338","","1220","","Legion class-hall acquisition; Pandaria theme does not assign ownership","https://housing.wowdb.com/decor/5112/five-dawns-weapon-rack-5112/"
