"status","candidate_basis","acquisition_expansion","catalog_scope","decor_id","item_id","decor_name","source_text","achievement_ids","quest_ids","npc_ids","spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url","item_name","item_expansion_id","flags","type","model_type","weight_cost"
"acquisition_bfa_confirmed","live_catalog_acquisition_audit","bfa","bfa_theme","755","245484","Boralus-Style Lobster Platter","Cooking Battle for Azeroth Cooking (140)","","","","1260337","","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/755/boralus-style-lobster-platter-755/","Boralus-Style Lobster Platter","7","3","1","1","1"
"acquisition_bfa_confirmed","live_catalog_acquisition_audit","bfa","bfa_theme","837","245467","Lordaeron Banded Crate","Azeroth at War: After Lordaeron Arcanist Peroleth (Port of Zandalar, Dazar'alor) 150 War Resources","12869","","251921","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/837/lordaeron-banded-crate-837/","Lordaeron Banded Crate","-3","3","1","1","1"
"acquisition_bfa_confirmed","live_catalog_acquisition_audit","bfa","bfa_theme","838","245463","Lordaeron Banded Barrel","Azeroth at War: The Barrens Arcanist Peroleth (Port of Zandalar, Dazar'alor) 150 War Resources","12867","","251921","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/838/lordaeron-banded-barrel-838/","Lordaeron Banded Barrel","-3","3","1","1","1"
"acquisition_bfa_confirmed","live_catalog_acquisition_audit","bfa","bfa_theme","839","245464","Inert Blight Canister","Provisioner Mukra (Zuldazar) 200 War Resources","","","148924","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/839/inert-blight-canister-839/","Inert Blight Canister","-3","3","1","1","1"
"acquisition_bfa_confirmed","live_catalog_acquisition_audit","bfa","bfa_theme","840","245462","Banshee Queen's Banner","Darkshore Rares","","","","","","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/840/banshee-queens-banner-840/","Banshee Queen's Banner","-3","3","2","1","5"
"acquisition_bfa_confirmed","live_catalog_acquisition_audit","bfa","bfa_theme","862","245473","Forsaken Studded Table","Return to Zuldazar (Stormsong Valley) Arcanist Peroleth (Port of Zandalar, Dazar'alor) 300 War Resources","","51986","251921","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/862/forsaken-studded-table-862/","Forsaken Studded Table","-3","3","1","1","5"
"acquisition_bfa_confirmed","live_catalog_acquisition_audit","bfa","bfa_theme","863","245465","Tirisfal Wooden Chair","Return to Zuldazar (Tiragarde Sound) Arcanist Peroleth (Port of Zandalar, Dazar'alor) 200 War Resources","","51984","251921","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/863/tirisfal-wooden-chair-863/","Tirisfal Wooden Chair","-3","3","1","1","1"
"acquisition_bfa_confirmed","live_catalog_acquisition_audit","bfa","bfa_theme","864","245466","Forsaken Spiked Chair","The Bridgeport Ride (Tiragarde Sound) To Be Forsaken (Stormsong Valley) +1","","51601;52122","","","","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/864/forsaken-spiked-chair-864/","Forsaken Spiked Chair","-3","3","1","1","3"
"acquisition_bfa_confirmed","live_catalog_acquisition_audit","bfa","bfa_theme","865","239606","Forsaken Round Rug","Speaker of the Horde (Zuldazar) Arcanist Peroleth (Port of Zandalar, Dazar'alor) 200 War Resources","","46931","251921","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/865/forsaken-round-rug-865/","Forsaken Round Rug","-3","3","4","1","3"
"acquisition_bfa_confirmed","live_catalog_acquisition_audit","bfa","bfa_theme","932","245474","Forsaken War Planning Table","Provisioner Mukra (Zuldazar) 300 War Resources","","","148924","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/932/forsaken-war-planning-table-932/","Forsaken War Planning Table","-3","3","1","1","5"
"acquisition_bfa_confirmed","live_catalog_acquisition_audit","bfa","bfa_theme","933","245483","Lordaeron Spiked Weapon Rack","Azeroth at War: Kalimdor on Fire Arcanist Peroleth (Port of Zandalar, Dazar'alor) 200 War Resources","12870","","251921","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/933/lordaeron-spiked-weapon-rack-933/","Lordaeron Spiked Weapon Rack","-3","3","1","1","3"
"acquisition_bfa_confirmed","live_catalog_acquisition_audit","bfa","bfa_theme","934","245469","Lordaeron Lantern","To Be Forsaken Arcanist Peroleth (Port of Zandalar, Dazar'alor) 300 War Resources","","52122","251921","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/934/lordaeron-lantern-934/","Lordaeron Lantern","-3","3","1","1","1"
"acquisition_bfa_confirmed","live_catalog_acquisition_audit","bfa","bfa_theme","935","245475","Forsaken Long Table","Return to Zuldazar (Drustvar) Arcanist Peroleth (Port of Zandalar, Dazar'alor) 300 War Resources","","51985","251921","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/935/forsaken-long-table-935/","Forsaken Long Table","-3","3","1","1","5"
"acquisition_bfa_confirmed","live_catalog_acquisition_audit","bfa","bfa_theme","936","245470","Lordaeron Hanging Lantern","With Prince in Tow (The Great Sea) Arcanist Peroleth (Port of Zandalar, Dazar'alor) 300 War Resources","","52978","251921","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/936/lordaeron-hanging-lantern-936/","Lordaeron Hanging Lantern","-3","3","2","1","1"
"acquisition_bfa_confirmed","live_catalog_acquisition_audit","bfa","bfa_theme","937","245476","Large Forsaken War Tent","Frontline Warrior Provisioner Mukra (Zuldazar) 300 War Resources","13284","","148924","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/937/large-forsaken-war-tent-937/","Large Forsaken War Tent","-3","3","1","1","5"
