"decor_id","catalog_name","catalog_scope","status","acquisition_expansion","source_text","achievement_ids","quest_ids","npc_ids","spell_ids","currency_ids","item_ids","classification_note","acquisition_source_url"
"678","[DNT] Cenarion Round Rug - do not use - new asset","legion_theme","internal_dnt","none","Vendor: Selfira Ambergrove A H (Val'sharah) Vendor: Sylvia Hartshorn H (Val'sharah)","","","106901;253387","","","","Internal, deprecated, duplicate, or DNT catalog row","https://housing.wowdb.com/decor/678/dnt-cenarion-round-rug-do-not-use-new-asset-678/"
"753","""The Final Study"" Painting","legion_theme","catalog_hidden_unobtainable","none","","","","","","","","No collectible acquisition source is displayed in the live catalog","https://housing.wowdb.com/decor/753/the-final-study-painting-753/"
"754","""The Fallen Archmage"" Painting","legion_theme","catalog_hidden_unobtainable","none","","","","","","","","No collectible acquisition source is displayed in the live catalog","https://housing.wowdb.com/decor/754/the-fallen-archmage-painting-754/"
"769","""Edge of Val'sharah"" Painting","legion_theme","catalog_hidden_unobtainable","none","","","","","","","","No collectible acquisition source is displayed in the live catalog","https://housing.wowdb.com/decor/769/edge-of-valsharah-painting-769/"
"1288","[DNT] Tauren Hanging Brazier - DO NOT USE - new asset","legion_theme","internal_dnt","none","","","","","","","","Internal, deprecated, duplicate, or DNT catalog row","https://housing.wowdb.com/decor/1288/dnt-tauren-hanging-brazier-do-not-use-new-asset-1288/"
"1693","Small Val'sharah Bookcase","legion_theme","acquisition_dragonflight_confirmed","dragonflight","Quest: Dreamy Inspiration (Stormwind City, Orgrimmar, Dornogal) Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Second Chair Pawdo A H (Dornogal)","","","252312","","","","Original acquisition requires Dragonflight content; later Pawdo source does not move it","https://housing.wowdb.com/decor/1693/small-valsharah-bookcase-1693/"
"1836","Elven Temple Brazier","legion_theme","acquisition_bfa_confirmed","battle-for-azeroth","Drop: Darkshore Rares","","","","","","","Drop source is Battle for Azeroth Darkshore content","https://housing.wowdb.com/decor/1836/elven-temple-brazier-1836/"
"1861","Filigree Moon Lamp","legion_theme","acquisition_dragonflight_confirmed","dragonflight","Vendor: Second Chair Pawdo A H (Dornogal)","","","252312","","","","Original acquisition uses Dragon Isles Supplies; later Pawdo source does not move it","https://housing.wowdb.com/decor/1861/filigree-moon-lamp-1861/"
"2000","Filigree Moon Sconce","legion_theme","acquisition_bfa_confirmed","battle-for-azeroth","Drop: Darkshore Rares","","","","","","","Drop source is Battle for Azeroth Darkshore content","https://housing.wowdb.com/decor/2000/filigree-moon-sconce-2000/"
"2510","Kafa Press","legion_theme","acquisition_midnight_confirmed","midnight","Vendor: Brother Dovetail (Razorwind Shores) Friend of the Grummles Vendor: Cursed Keepsake","","","249684;262726","","","","Displayed acquisition is a Midnight quest, vendor, currency, or housing source","https://housing.wowdb.com/decor/2510/kafa-press-2510/"
