decor_id,catalog_name,category,source_text,achievement_ids,quest_ids,npc_ids,spell_ids,currency_ids
"562","Winter Veil Tree","Nature › Large Foliage","","","","","",""
"714","Silvermoon Wooden Chair","Furnishings › Seating","Dethelin (Silvermoon City) 3000 Resonance Crystals Materialist Ophinell (Twilight Highlands) 50 Twilight's Blade Insignia","","","249196;250982","","2815;3319"
"715","Small Silvermoon Bookcase","Furnishings › Storage","","","","","",""
"716","Reliquary Storage Crate","Furnishings › Storage","Cataloger Jakes (Dragonscale Basecamp) 100 Dragon Isles Supplies Rae'ana (Dragonscale Basecamp) 100 Dragon Isles Supplies","","","188265;189226","","2003"
"717","Long Sin'dorei Rug","Accents › Floor","Cataloger Jakes (Dragonscale Basecamp) 250 Dragon Isles Supplies Rae'ana (Dragonscale Basecamp) 250 Dragon Isles Supplies","","","188265;189226","","2003"
"718","Circular Sin'dorei Rug","Accents › Floor","Cataloger Jakes (Dragonscale Basecamp) 250 Dragon Isles Supplies Rae'ana (Dragonscale Basecamp) 250 Dragon Isles Supplies","","","188265;189226","","2003"
"720","Reliquary Telescope","Accents › Misc Accents","Cataloger Jakes (Dragonscale Basecamp) 750 Dragon Isles Supplies Rae'ana (Dragonscale Basecamp) 750 Dragon Isles Supplies","","","188265;189226","","2003"
"757","""Aspects in the Clouds"" Painting","Accents › Wall Hangings","","","","","",""
"758","""Water Falls Home"" Painting","Accents › Wall Hangings","","","","","",""
"866","Studious Sin'dorei Desk","Furnishings › Tables and Desks","","","","","",""
"1119","Loch Modan Bearskin Rug","Accents › Floor","Crafting: Leatherworking Profession: Classic Leatherworking (240)","","","","1261672",""
"1120","Replica Dark Iron Mole Machine","Structural › Large Structures","Plugger Spazzring (Blackrock Depths)","","","144129","",""
"1173","Gemmed Eversong Lantern","Lighting › Small Lights","Sathren Azuredawn (Eversong Woods) 250 Voidlight Marl","","","259864","","3316"
"1176","Circular Silvermoon Table","Furnishings › Tables and Desks","","","","","",""
"1177","Blood Elven Candelabra","Lighting › Large Lights","Cataloger Jakes (Dragonscale Basecamp) 400 Dragon Isles Supplies Rae'ana (Dragonscale Basecamp) 400 Dragon Isles Supplies","","","188265;189226","","2003"
"1181","Rectangular Sin'dorei Rug","Accents › Floor","Cataloger Jakes (Dragonscale Basecamp) 250 Dragon Isles Supplies Rae'ana (Dragonscale Basecamp) 250 Dragon Isles Supplies","","","188265;189226","","2003"
"1190","Sin'dorei Display Case","Furnishings › Storage","","","","","",""
"1195","Silvermoon Library Bookcase","Furnishings › Storage","Sathren Azuredawn (Eversong Woods) 250 Voidlight Marl","","","259864","","3316"
"1198","Long Silvermoon Table","Furnishings › Tables and Desks","Caeris Fairdawn (Eversong Woods) 250 Voidlight Marl","","","240838","","3316"
"1236","Enchanted Blood Elven Candelabra","Lighting › Large Lights","Dethelin (Silvermoon City) 3000 Resonance Crystals Materialist Ophinell (Twilight Highlands) 50 Twilight's Blade Insignia","","","249196;250982","","2815;3319"
"1446","Silvermoon Painter's Cushion","Furnishings › Seating","Ever Painting Hesta Forlath (Silvermoon City) 150","62185","","252916","",""
"1447","Small Silvermoon Seat Cushion","Furnishings › Seating","","","","","",""
"1448","Triangular Silvermoon Seat Cushion","Furnishings › Seating","","","","","",""
"1449","Circular Silvermoon Seat Cushion","Furnishings › Seating","","","","","",""
"1450","Silvermoon Pillow Roll","Furnishings › Seating","","","","","",""
"1834","Bel'ameth Bench","Furnishings › Seating","Ellandrieth (Amirdrassil) 350 Dragon Isles Supplies","","","216285","","2003"
"1835","[DNT] Ornamental Kaldorei Glaive - DO NOT USE - new asset coming","Accents › Wall Hangings","","","","","",""
"1888","Bel'ameth Barrel","Furnishings › Storage","Ellandrieth (Amirdrassil) 250 Dragon Isles Supplies","","","216285","","2003"
"1987","Bel'ameth Wooden Table","Furnishings › Tables and Desks","Ellandrieth (Amirdrassil) 350 Dragon Isles Supplies","","","216285","","2003"
"1988","[DNT] Amirdrassil Stool - DO NOT USE - new asset","Furnishings › Seating","","","","","",""
"1989","Bel'ameth Crafter's Tent","Structural › Large Structures","Mythrin'dir (Amirdrassil) 500 Dragon Isles Supplies","","","216284","","2003"
"1990","Small Bel'ameth Tent","Structural › Large Structures","Ellandrieth (Amirdrassil) 500 Dragon Isles Supplies","","","216285","","2003"
"2469","Elegant Dracthyr's Tea Cup","Accents › Food and Drink","Warm Away These Shivers (The Azure Span) Silvrath (Valdrakken) 100 Dragon Isles Supplies","","67047","253067","","2003"
"2529","Open Tome of the Dragon's Dedication","Accents › Ornamental","A Last Hope Caretaker Azkra (The Waking Shores) +1 more source","","66001","190155","",""
"2530","Tome of the Lost Dragon","Accents › Ornamental","The Head of the Snake (Azsuna) Berazus (Azsuna) 300 Order Resources","","37470","89939","","1220"
"2531","Tome of Reliquary Insights","Accents › Ornamental","Encounter: Viz'aduum the Watcher (Karazhan)","","","","",""
"2593","Drake Kebab Platter","Accents › Food and Drink","Crafting: Cooking Profession: Dragon Isles Cooking (80)","","","","1266555",""
"2594","Roast Riverbeast Platter","Accents › Food and Drink","10,000 Years of Roasting (The Waking Shores) Silvrath (Valdrakken) 175 Dragon Isles Supplies","","67063","253067","","2003"
"2595","Valdrakken Blossomfruit Platter","Accents › Food and Drink","Crafting: Cooking Profession: Dragon Isles Cooking (80)","","","","1260331",""
"2596","Bruffalon Rib Platter","Accents › Food and Drink","Crafting: Cooking Profession: Dragon Isles Cooking (80)","","","","1260333",""
"4159","Draconic Stone Table","Furnishings › Tables and Desks","Silvrath (Valdrakken) 300 Dragon Isles Supplies Unatos (Valdrakken) 300 Dragon Isles Supplies","","","193015;253067","","2003"
"4160","Pentagonal Stone Table","Furnishings › Tables and Desks","A Blue Dawn Silvrath (Valdrakken) 150 Dragon Isles Supplies","17773","","253067","","2003"
"4161","Valdrakken Sconce","Lighting › Wall Lights","Fringe Benefits Ironus Coldsteel (Eon's Fringe, Thaldraszus) 150 Dragon Isles Supplies","19507","","209220","","2003"
"4162","Valdrakken Banded Barrel","Furnishings › Storage","Crafting: Inscription Profession: Dragon Isles Inscription (80)","","","","1259441",""
"4163","Valdrakken Storage Crate","Furnishings › Storage","Crafting: Inscription Profession: Dragon Isles Inscription (80)","","","","1259451",""
"4164","Long Valdrakken Storage Crate","Furnishings › Storage","Crafting: Inscription Profession: Dragon Isles Inscription (80)","","","","1259461",""
"4165","Valdrakken Fence","Structural › Misc Structural","Crafting: Jewelcrafting Profession: Dragon Isles Jewelcrafting (80)","","","","1259384",""
"4166","Valdrakken Fencepost","Structural › Misc Structural","Crafting: Jewelcrafting Profession: Dragon Isles Jewelcrafting (80)","","","","1259386",""
"4167","Verdant Valdrakken Vase","Accents › Ornamental","Crafting: Alchemy Profession: Dragon Isles Alchemy (80)","","","","1261885",""
"4168","Valdrakken Garden Fountain","Structural › Misc Structural","Silvrath (Valdrakken) 400 Dragon Isles Supplies Unatos (Valdrakken) 400 Dragon Isles Supplies","","","193015;253067","","2003"
"4169","Thaldraszus Telescope","Accents › Misc Accents","Crafting: Engineering Profession: Dragon Isles Engineering (80)","","","","1259404",""
"4170","Draconic Nesting Bed","Furnishings › Beds","Crafting: Leatherworking Profession: Dragon Isles Leatherworking (80)","","","","1259195",""
"4171","[DNT] Valdrakken Bookcase - DO NOT USE - newer asset in place","Furnishings › Storage","Unatos (Valdrakken) 10","","","193015","",""
"4172","Valdrakken Chandelier","Lighting › Ceiling Lights","Draconic Decor (Stormwind City, Orgrimmar, Dornogal) Second Chair Pawdo (Dornogal)","","","252312","",""
"4173","Studious Dracthyr's Tomes","Accents › Ornamental","Provisioner Aristta (Thaldraszus) 4000 Mysterious Fragment","","","209192","","2657"
"4174","Literature of the Blue Dragonflight","Accents › Ornamental","Crafting: Inscription Profession: Dragon Isles Inscription (80)","","","","1259422",""
"4175","Literature of the Green Dragonflight","Accents › Ornamental","Crafting: Inscription Profession: Dragon Isles Inscription (80)","","","","1259433",""
"4176","Literature of the Red Dragonflight","Accents › Ornamental","Crafting: Inscription Profession: Dragon Isles Inscription (80)","","","","1259429",""
"4177","Draconic Circular Rug","Accents › Floor","Crafting: Tailoring Profession: Dragon Isles Tailoring (80)","","","","1259247",""
"4180","The Great Hoard","Accents › Wall Hangings","A World Awoken Evantkis (Valdrakken) 7500 Dragon Isles Supplies","19458","","199605","","2003"
"4423","Ornamental Kaldorei Glaive","Accents › Ornamental","Honor of the Goddess (Felwood, Stormwind City) Ellandrieth (Amirdrassil) 500 Dragon Isles Supplies","","76213","216285","","2003"
"4477","Draconic Memorial Stone","Accents › Ornamental","Archives Return (Thaldraszus) Silvrath (Valdrakken) 600 Dragon Isles Supplies","","72935","253067","","2003"
"4478","Dragon's Grand Mirror","Furnishings › Misc Furnishings","Silvrath (Valdrakken) 250 Dragon Isles Supplies Unatos (Valdrakken) 250 Dragon Isles Supplies","","","193015;253067","","2003"
"4479","Valdrakken Stone Stool","Furnishings › Seating","A Helping Claw (The Azure Span) Silvrath (Valdrakken) 50 Dragon Isles Supplies","","71097","253067","","2003"
"4480","Valdrakken Gilded Throne","Furnishings › Seating","Crafting: Jewelcrafting Profession: Dragon Isles Jewelcrafting (80)","","","","1259369",""
"4481","Elegant Dracthyr's Tea Set","Accents › Food and Drink","To Cook With Finery (Valdrakken) Silvrath (Valdrakken) 200 Dragon Isles Supplies","","70880","253067","","2003"
"4482","Dragon's Hoard Chest","Furnishings › Storage","Forbidden Spoils Jolinth (The Forbidden Reach) 1500 Elemental Overflow","17529","","253086","","2118"
"4483","Valdrakken Market Tent","Structural › Large Structures","Crafting: Leatherworking Profession: Dragon Isles Leatherworking (80)","","","","1259233",""
