decor_id,catalog_name,catalog_scope,status,acquisition_expansion,source_text,achievement_ids,quest_ids,npc_ids,spell_ids,currency_ids,item_ids,classification_note,acquisition_source_url
"755","Boralus-Style Lobster Platter","bfa_theme","acquisition_bfa_confirmed","bfa","Cooking Battle for Azeroth Cooking (140)","","","","1260337","","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/755/boralus-style-lobster-platter-755/"
"837","Lordaeron Banded Crate","bfa_theme","acquisition_bfa_confirmed","bfa","Azeroth at War: After Lordaeron Arcanist Peroleth (Port of Zandalar, Dazar'alor) 150 War Resources","12869","","251921","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/837/lordaeron-banded-crate-837/"
"838","Lordaeron Banded Barrel","bfa_theme","acquisition_bfa_confirmed","bfa","Azeroth at War: The Barrens Arcanist Peroleth (Port of Zandalar, Dazar'alor) 150 War Resources","12867","","251921","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/838/lordaeron-banded-barrel-838/"
"839","Inert Blight Canister","bfa_theme","acquisition_bfa_confirmed","bfa","Provisioner Mukra (Zuldazar) 200 War Resources","","","148924","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/839/inert-blight-canister-839/"
"840","Banshee Queen's Banner","bfa_theme","acquisition_bfa_confirmed","bfa","Darkshore Rares","","","","","","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/840/banshee-queens-banner-840/"
"862","Forsaken Studded Table","bfa_theme","acquisition_bfa_confirmed","bfa","Return to Zuldazar (Stormsong Valley) Arcanist Peroleth (Port of Zandalar, Dazar'alor) 300 War Resources","","51986","251921","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/862/forsaken-studded-table-862/"
"863","Tirisfal Wooden Chair","bfa_theme","acquisition_bfa_confirmed","bfa","Return to Zuldazar (Tiragarde Sound) Arcanist Peroleth (Port of Zandalar, Dazar'alor) 200 War Resources","","51984","251921","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/863/tirisfal-wooden-chair-863/"
"864","Forsaken Spiked Chair","bfa_theme","acquisition_bfa_confirmed","bfa","The Bridgeport Ride (Tiragarde Sound) To Be Forsaken (Stormsong Valley) +1","","51601;52122","","","","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/864/forsaken-spiked-chair-864/"
"865","Forsaken Round Rug","bfa_theme","acquisition_bfa_confirmed","bfa","Speaker of the Horde (Zuldazar) Arcanist Peroleth (Port of Zandalar, Dazar'alor) 200 War Resources","","46931","251921","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/865/forsaken-round-rug-865/"
"932","Forsaken War Planning Table","bfa_theme","acquisition_bfa_confirmed","bfa","Provisioner Mukra (Zuldazar) 300 War Resources","","","148924","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/932/forsaken-war-planning-table-932/"
"933","Lordaeron Spiked Weapon Rack","bfa_theme","acquisition_bfa_confirmed","bfa","Azeroth at War: Kalimdor on Fire Arcanist Peroleth (Port of Zandalar, Dazar'alor) 200 War Resources","12870","","251921","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/933/lordaeron-spiked-weapon-rack-933/"
"934","Lordaeron Lantern","bfa_theme","acquisition_bfa_confirmed","bfa","To Be Forsaken Arcanist Peroleth (Port of Zandalar, Dazar'alor) 300 War Resources","","52122","251921","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/934/lordaeron-lantern-934/"
"935","Forsaken Long Table","bfa_theme","acquisition_bfa_confirmed","bfa","Return to Zuldazar (Drustvar) Arcanist Peroleth (Port of Zandalar, Dazar'alor) 300 War Resources","","51985","251921","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/935/forsaken-long-table-935/"
"936","Lordaeron Hanging Lantern","bfa_theme","acquisition_bfa_confirmed","bfa","With Prince in Tow (The Great Sea) Arcanist Peroleth (Port of Zandalar, Dazar'alor) 300 War Resources","","52978","251921","","1560","","Acquisition source or required content is Battle for Azeroth","https://housing.wowdb.com/decor/936/lordaeron-hanging-lantern-936/"
