"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url"
"856","245519","[DNT] Gilnean Problem Solver - Do Not Use - Updated Asset Available","cataclysm_theme","internal_dnt","","vendor","1 [DNT] Gilnean Problem Solver - Do Not Use - Updated Asset Available Accents › Misc Accents","","","","","","","Internal DNT, duplicate, or do-not-use catalog row","https://housing.wowdb.com/decor/856/dnt-gilnean-problem-solver-do-not-use-updated-asset-available-856/"
"857","245520","Gilnean Celebration Keg","cataclysm_theme","acquisition_dragonflight_confirmed","dragonflight","achievement","1 Gilnean Celebration Keg Accents › Food and Drink Reclamation of Gilneas Marie Allen (Stormglen Village, Gilneas) 150 +1 more source","19719","","211065","","","","Current acquisition requires Reclamation of Gilneas content added in Dragonflight","https://housing.wowdb.com/decor/857/gilnean-celebration-keg-857/"
"859","245516","Gilnean Bench","cataclysm_theme","acquisition_dragonflight_confirmed","dragonflight","vendor","3 Gilnean Bench Furnishings › Seating Marie Allen (Stormglen Village, Gilneas) 75 Samantha Buckley (Ruins of Gilneas) 75","","","211065;216888","","","","Current acquisition requires Reclamation of Gilneas content added in Dragonflight","https://housing.wowdb.com/decor/859/gilnean-bench-859/"
"860","245515","Gilnean Wooden Bed","cataclysm_theme","acquisition_dragonflight_confirmed","dragonflight","vendor","3 Gilnean Wooden Bed Furnishings › Beds Marie Allen (Stormglen Village, Gilneas) 75 Samantha Buckley (Ruins of Gilneas) 75","","","211065;216888","","","","Current acquisition requires Reclamation of Gilneas content added in Dragonflight","https://housing.wowdb.com/decor/860/gilnean-wooden-bed-860/"
"1795","245604","Arched Rose Trellis","cataclysm_theme","acquisition_dragonflight_confirmed","dragonflight","vendor","3 Arched Rose Trellis Nature › Misc Nature Marie Allen (Stormglen Village, Gilneas) 100 Samantha Buckley (Ruins of Gilneas) 100","","","211065;216888","","","","Current acquisition requires Reclamation of Gilneas content added in Dragonflight","https://housing.wowdb.com/decor/1795/arched-rose-trellis-1795/"
"1802","245616","Bradensbrook Thorned Well","cataclysm_theme","acquisition_legion_confirmed","legion","quest","5 Bradensbrook Thorned Well Structural › Large Structures Source of the Corruption Corbin Branbell (Val'sharah) 1000 Order Resources","","46107","252498","","1220","","Current acquisition requires Legion content","https://housing.wowdb.com/decor/1802/bradensbrook-thorned-well-1802/"
"1826","245617","Gilnean Stocks","cataclysm_theme","acquisition_dragonflight_confirmed","dragonflight","vendor","1 Gilnean Stocks Accents › Ornamental Marie Allen (Stormglen Village, Gilneas) 100 Samantha Buckley (Ruins of Gilneas) 100","","","211065;216888","","","","Current acquisition requires Reclamation of Gilneas content added in Dragonflight","https://housing.wowdb.com/decor/1826/gilnean-stocks-1826/"
"1828","245619","[DNT] Smoke Sconce - DO NOT USE - new asset","cataclysm_theme","internal_dnt","","vendor","3 Exterior Only [DNT] Smoke Sconce - DO NOT USE - new asset Lighting › Wall Lights","","","","","","","Internal DNT, duplicate, or do-not-use catalog row","https://housing.wowdb.com/decor/1828/dnt-smoke-sconce-do-not-use-new-asset-1828/"
"2019","246125","[DNT] Pyrewood Glass Bottle - DO NOT USE - duplicate","cataclysm_theme","internal_dnt","","vendor","100 [DNT] Pyrewood Glass Bottle - DO NOT USE - duplicate Accents › Ornamental","","","","","","","Internal DNT, duplicate, or do-not-use catalog row","https://housing.wowdb.com/decor/2019/dnt-pyrewood-glass-bottle-do-not-use-duplicate-2019/"
"9248","253174","Dried Gilnean Roses","cataclysm_theme","acquisition_midnight_confirmed","midnight","quest","1 Dried Gilnean Roses Nature › Small Foliage A Generational Moment (Arcantina) Morta Gage (Arcantina) 150 Voidlight Marl","","92327","252873","","3316","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/9248/dried-gilnean-roses-9248/"
