"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url"
"855","245517","Gilnean Cauldron","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Gilnean Cauldron Accents › Food and Drink Crafting: Alchemy Profession: Cataclysm Alchemy (60)","","","","1261255","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/855/gilnean-cauldron-855/"
"856","245519","[DNT] Gilnean Problem Solver - Do Not Use - Updated Asset Available","cataclysm_theme","internal_dnt","","vendor","1 [DNT] Gilnean Problem Solver - Do Not Use - Updated Asset Available Accents › Misc Accents","","","","","","","Internal DNT, duplicate, or do-not-use catalog row","https://housing.wowdb.com/decor/856/dnt-gilnean-problem-solver-do-not-use-updated-asset-available-856/"
"857","245520","Gilnean Celebration Keg","cataclysm_theme","acquisition_dragonflight_confirmed","dragonflight","achievement","1 Gilnean Celebration Keg Accents › Food and Drink Reclamation of Gilneas Marie Allen (Stormglen Village, Gilneas) 150 +1 more source","19719","","211065","","","","Current acquisition requires Reclamation of Gilneas content added in Dragonflight","https://housing.wowdb.com/decor/857/gilnean-celebration-keg-857/"
"858","245518","Worgen's Chicken Coop","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","3 Worgen's Chicken Coop Structural › Misc Structural Last Meal Lord Candren (Darnassus) 150 +1 more source","","24675","50307","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/858/worgens-chicken-coop-858/"
"859","245516","Gilnean Bench","cataclysm_theme","acquisition_dragonflight_confirmed","dragonflight","vendor","3 Gilnean Bench Furnishings › Seating Marie Allen (Stormglen Village, Gilneas) 75 Samantha Buckley (Ruins of Gilneas) 75","","","211065;216888","","","","Current acquisition requires Reclamation of Gilneas content added in Dragonflight","https://housing.wowdb.com/decor/859/gilnean-bench-859/"
"860","245515","Gilnean Wooden Bed","cataclysm_theme","acquisition_dragonflight_confirmed","dragonflight","vendor","3 Gilnean Wooden Bed Furnishings › Beds Marie Allen (Stormglen Village, Gilneas) 75 Samantha Buckley (Ruins of Gilneas) 75","","","211065;216888","","","","Current acquisition requires Reclamation of Gilneas content added in Dragonflight","https://housing.wowdb.com/decor/860/gilnean-wooden-bed-860/"
"1445","244655","Gilnean Circular Rug","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","drop","5 Gilnean Circular Rug Accents › Floor Encounter: Lord Godfrey (Shadowfang Keep)","","","","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1445/gilnean-circular-rug-1445/"
"1481","244777","Surwich Peddler's Wagon","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","5 Surwich Peddler's Wagon Miscellaneous › Miscellaneous - All The Downfall of Marl Wormthorn Maurice Essman (Surwich, Blasted Lands) 1100","","25720","44337","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1481/surwich-peddlers-wagon-1481/"
"1793","245602","Gilnean Problem Solver","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","5 Gilnean Problem Solver Accents › Misc Accents Crafting: Engineering Profession: Cataclysm Engineering (60)","","","","1261258","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1793/gilnean-problem-solver-1793/"
"1794","245603","Gilnean Noble's Trellis","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","vendor","3 Gilnean Noble's Trellis Nature › Misc Nature Lord Candren (Ruins of Gilneas) 350 Unknown Vendor (Teldrassil)","","","252520;50307","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1794/gilnean-nobles-trellis-1794/"
"1795","245604","Arched Rose Trellis","cataclysm_theme","acquisition_dragonflight_confirmed","dragonflight","vendor","3 Arched Rose Trellis Nature › Misc Nature Marie Allen (Stormglen Village, Gilneas) 100 Samantha Buckley (Ruins of Gilneas) 100","","","211065;216888","","","","Current acquisition requires Reclamation of Gilneas content added in Dragonflight","https://housing.wowdb.com/decor/1795/arched-rose-trellis-1795/"
"1796","245605","Gilnean Stone Wall","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","vendor","1 Gilnean Stone Wall Structural › Misc Structural Lord Candren (Stormwind City) 300 Unknown Vendor (Teldrassil)","","","252520;50307","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1796/gilnean-stone-wall-1796/"
"1802","245616","Bradensbrook Thorned Well","cataclysm_theme","acquisition_legion_confirmed","legion","quest","5 Bradensbrook Thorned Well Structural › Large Structures Source of the Corruption Corbin Branbell (Val'sharah) 1000 Order Resources","","46107","252498","","1220","","Current acquisition requires Legion content","https://housing.wowdb.com/decor/1802/bradensbrook-thorned-well-1802/"
"1826","245617","Gilnean Stocks","cataclysm_theme","acquisition_dragonflight_confirmed","dragonflight","vendor","1 Gilnean Stocks Accents › Ornamental Marie Allen (Stormglen Village, Gilneas) 100 Samantha Buckley (Ruins of Gilneas) 100","","","211065;216888","","","","Current acquisition requires Reclamation of Gilneas content added in Dragonflight","https://housing.wowdb.com/decor/1826/gilnean-stocks-1826/"
"1827","245618","Surwich Expedition Tent","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","5 Surwich Expedition Tent Structural › Large Structures Crafting: Tailoring Profession: Cataclysm Tailoring (60)","","","","1261317","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1827/surwich-expedition-tent-1827/"
"1828","245619","[DNT] Smoke Sconce - DO NOT USE - new asset","cataclysm_theme","internal_dnt","","vendor","3 Exterior Only [DNT] Smoke Sconce - DO NOT USE - new asset Lighting › Wall Lights","","","","","","","Internal DNT, duplicate, or do-not-use catalog row","https://housing.wowdb.com/decor/1828/dnt-smoke-sconce-do-not-use-new-asset-1828/"
"1829","245620","Little Wolf's Loo","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","5 Little Wolf's Loo Structural › Large Structures Ready to Go (Ruins of Gilneas, Gilneas) Lord Candren (Darnassus) 50 +1 more source","","14402","50307","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1829/little-wolfs-loo-1829/"
"1830","245621","Gilnean Wooden Table","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","3 Gilnean Wooden Table Furnishings › Tables and Desks Crafting: Inscription Profession: Cataclysm Inscription (60)","","","","1261259","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1830/gilnean-wooden-table-1830/"
"1831","245622","Gilnean Wall Shelf","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","3 Gilnean Wall Shelf Furnishings › Storage Crafting: Inscription Profession: Cataclysm Inscription (60)","","","","1261288","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1831/gilnean-wall-shelf-1831/"
"1832","245623","Gilnean Rocking Chair","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Gilnean Rocking Chair Furnishings › Seating Crafting: Inscription Profession: Cataclysm Inscription (60)","","","","1261278","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1832/gilnean-rocking-chair-1832/"
"1833","245624","Waning Wood Fence","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","1 Waning Wood Fence Structural › Misc Structural Cry For The Moon (Duskwood) Wilkinson (Duskwood) 150","","26760","44114","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1833/waning-wood-fence-1833/"
"2019","246125","[DNT] Pyrewood Glass Bottle - DO NOT USE - duplicate","cataclysm_theme","internal_dnt","","vendor","100 [DNT] Pyrewood Glass Bottle - DO NOT USE - duplicate Accents › Ornamental","","","","","","","Internal DNT, duplicate, or do-not-use catalog row","https://housing.wowdb.com/decor/2019/dnt-pyrewood-glass-bottle-do-not-use-duplicate-2019/"
"2244","246427","Dilapidated Wildhammer Well","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","5 Dilapidated Wildhammer Well Structural › Large Structures Eye Spy (Twilight Highlands) Breana Bitterbrand (Twilight Highlands) 1000","","28244","253227","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/2244/dilapidated-wildhammer-well-2244/"
"2245","246428","Overgrown Wildhammer Fountain","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","5 Overgrown Wildhammer Fountain Structural › Large Structures Wild, Wild, Wildhammer Wedding (Twilight Highlands) Breana Bitterbrand (Twilight Highlands) 1500","","28655","253227","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/2245/overgrown-wildhammer-fountain-2245/"
"3867","247727","Iron Dragonmaw Gate","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","achievement","5 Iron Dragonmaw Gate Structural › Doors Master of Twin Peaks Joruh (Orgrimmar) 5000 Honor","5223","","254606","","1792","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/3867/iron-dragonmaw-gate-3867/"
"5342","249143","Smoke Sconce","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Smoke Sconce Lighting › Wall Lights Crafting: Jewelcrafting Profession: Cataclysm Jewelcrafting (60)","","","","1261305","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/5342/smoke-sconce-5342/"
"9248","253174","Dried Gilnean Roses","cataclysm_theme","acquisition_midnight_confirmed","midnight","quest","1 Dried Gilnean Roses Nature › Small Foliage A Generational Moment (Arcantina) Morta Gage (Arcantina) 150 Voidlight Marl","","92327","252873","","3316","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/9248/dried-gilnean-roses-9248/"
"11296","256896","Smoke Lamppost","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","achievement","5 Smoke Lamppost Lighting › Large Lights Battle for Gilneas Victory Joruh (Orgrimmar) 450 Honor +1 more source","5245","","254606","","1792","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11296/smoke-lamppost-11296/"
"11301","256903","Gilnean Banded Crate","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","1 Gilnean Banded Crate Furnishings › Storage The Shredders of Irontree (Felwood)","","28337","","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11301/gilnean-banded-crate-11301/"
"11305","256905","Small Gilnean Table","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","1 Small Gilnean Table Furnishings › Tables and Desks Morbent's Bane (Duskwood) Wilkinson (Duskwood) 175","","26754","44114","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11305/small-gilnean-table-11305/"
"11319","256919","Zandalari War Chandelier","cataclysm_theme","acquisition_bfa_confirmed","bfa","vendor","1 Zandalari War Chandelier Lighting › Ceiling Lights T'lama (Zuldazar) 300 War Resources","","","252326","","1560","","Current acquisition requires Battle for Azeroth content","https://housing.wowdb.com/decor/11319/zandalari-war-chandelier-11319/"
"11377","257042","Gilnean Pitchfork","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Gilnean Pitchfork Accents › Misc Accents Crafting: Blacksmithing Profession: Cataclysm Blacksmithing (60)","","","","1261256","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11377/gilnean-pitchfork-11377/"
"11484","257394","Zandalari War Torch","cataclysm_theme","acquisition_bfa_confirmed","bfa","vendor","3 Zandalari War Torch Lighting › Large Lights Provisioner Lija (Nazmir) 150 War Resources","","","135459","","1560","","Current acquisition requires Battle for Azeroth content","https://housing.wowdb.com/decor/11484/zandalari-war-torch-11484/"
"11489","257399","Zandalari War Brazier","cataclysm_theme","acquisition_bfa_confirmed","bfa","vendor","1 Zandalari War Brazier Lighting › Large Lights T'lama (Zuldazar) 300 War Resources","","","252326","","1560","","Current acquisition requires Battle for Azeroth content","https://housing.wowdb.com/decor/11489/zandalari-war-brazier-11489/"
"11492","257402","""Unity of Thorns"" Tapestry","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 ""Unity of Thorns"" Tapestry Accents › Wall Hangings Crafting: Tailoring Profession: Cataclysm Tailoring (60)","","","","1262370","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11492/unity-of-thorns-tapestry-11492/"
"11493","257403","Maelstrom Lava Lamp","cataclysm_theme","acquisition_legion_confirmed","legion","achievement","5 Maelstrom Lava Lamp Miscellaneous › Miscellaneous - All The Farseer's Campaign Flamesmith Lanying (The Maelstrom) 1500 Order Resources +1 more source","42280","","112318","","1220","","Current acquisition requires Legion content","https://housing.wowdb.com/decor/11493/maelstrom-lava-lamp-11493/"
"11494","257404","Pyrewood Glass Bottle","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Pyrewood Glass Bottle Accents › Ornamental Crafting: Enchanting Profession: Cataclysm Enchanting (60)","","","","1262331","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11494/pyrewood-glass-bottle-11494/"
"11495","257405","Baradin Bay Fishing Rack","cataclysm_theme","acquisition_classic_confirmed","classic","vendor","3 Baradin Bay Fishing Rack Furnishings › Storage Stuart Fleming (Wetlands)","","","3178","","","","Current acquisition uses a Classic vendor; Cataclysm theme does not assign ownership","https://housing.wowdb.com/decor/11495/baradin-bay-fishing-rack-11495/"
"11496","257406","Smoke Lamp","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Smoke Lamp Lighting › Wall Lights Crafting: Jewelcrafting Profession: Cataclysm Jewelcrafting (60)","","","","1262357","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/11496/smoke-lamp-11496/"
