"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url","classic_achievement_ids","classic_quest_ids","classic_recipe_spell_ids","classic_text_signal"
"854","245502","Brill Coffin","classic_theme","acquisition_classic_confirmed","classic","crafted","3 Brill Coffin Furnishings › Storage Crafting: Inscription Profession: Classic Inscription (240)","","","","1261572","","","Current acquisition requires original World of Warcraft content","https://housing.wowdb.com/decor/854/brill-coffin-854/","","","1261572","False"
"922","245503","Brill Coffin Lid","classic_theme","acquisition_classic_confirmed","classic","crafted","3 Brill Coffin Lid Furnishings › Storage Crafting: Inscription Profession: Classic Inscription (240)","","","","1261549","","","Current acquisition requires original World of Warcraft content","https://housing.wowdb.com/decor/922/brill-coffin-lid-922/","","","1261549","False"
"1119","242948","Loch Modan Bearskin Rug","global_acquisition_match","acquisition_classic_confirmed","classic","crafted","5 Loch Modan Bearskin Rug Accents › Floor Crafting: Leatherworking Profession: Classic Leatherworking (240)","","","","1261672","","","Current acquisition requires original World of Warcraft content","https://housing.wowdb.com/decor/1119/loch-modan-bearskin-rug-1119/","","","1261672","False"
"1282","243336","Elder Rise Rug","classic_theme","acquisition_classic_confirmed","classic","crafted","3 Elder Rise Rug Accents › Floor Crafting: Tailoring Profession: Classic Tailoring (240)","","","","1261688","","","Current acquisition requires original World of Warcraft content","https://housing.wowdb.com/decor/1282/elder-rise-rug-1282/","","","1261688","False"
"2001","246111","Shadowforge Sconce","classic_theme","acquisition_classic_confirmed","classic","crafted","1 Shadowforge Sconce Lighting › Wall Lights Crafting: Blacksmithing Profession: Classic Blacksmithing (240)","","","","1261497","","","Current acquisition requires original World of Warcraft content","https://housing.wowdb.com/decor/2001/shadowforge-sconce-2001/","","","1261497","False"
"2227","246410","Dark Iron Table Saw","classic_theme","acquisition_classic_confirmed","classic","crafted","3 Dark Iron Table Saw Furnishings › Tables and Desks Crafting: Engineering Profession: Classic Engineering (240)","","","","1261509","","","Current acquisition requires original World of Warcraft content","https://housing.wowdb.com/decor/2227/dark-iron-table-saw-2227/","","","1261509","False"
"2230","246413","Blackrock Lamppost","classic_theme","acquisition_classic_confirmed","classic","crafted","3 Blackrock Lamppost Lighting › Large Lights Crafting: Jewelcrafting Profession: Classic Jewelcrafting (240)","","","","1261667","","","Current acquisition requires original World of Warcraft content","https://housing.wowdb.com/decor/2230/blackrock-lamppost-2230/","","","1261667","False"
"2237","246420","Kharanos Bookcase","classic_theme","acquisition_classic_confirmed","classic","crafted","5 Kharanos Bookcase Furnishings › Storage Crafting: Inscription Profession: Classic Inscription (240)","","","","1261587","","","Current acquisition requires original World of Warcraft content","https://housing.wowdb.com/decor/2237/kharanos-bookcase-2237/","","","1261587","False"
"2240","246423","Wooden Ironforge Table","classic_theme","acquisition_classic_confirmed","classic","crafted","3 Wooden Ironforge Table Furnishings › Tables and Desks Crafting: Inscription Profession: Classic Inscription (240)","","","","1261644","","","Current acquisition requires original World of Warcraft content","https://housing.wowdb.com/decor/2240/wooden-ironforge-table-2240/","","","1261644","False"
"2246","246429","Dark Iron Chandelier","classic_theme","acquisition_classic_confirmed","classic","drop","1 Dark Iron Chandelier Lighting › Ceiling Lights Encounter: Emperor Dagran Thaurissan (Blackrock Depths)","","","","","","","Current acquisition requires original World of Warcraft content","https://housing.wowdb.com/decor/2246/dark-iron-chandelier-2246/","","","","True"
"2331","246488","Ironforge Chandelier","classic_theme","acquisition_classic_confirmed","classic","crafted","1 Ironforge Chandelier Lighting › Ceiling Lights Crafting: Jewelcrafting Profession: Classic Jewelcrafting (240)","","","","1261659","","","Current acquisition requires original World of Warcraft content","https://housing.wowdb.com/decor/2331/ironforge-chandelier-2331/","","","1261659","False"
"2332","246489","Steel Ironforge Emblem","classic_theme","acquisition_classic_confirmed","classic","crafted","3 Steel Ironforge Emblem Accents › Wall Hangings Crafting: Blacksmithing Profession: Classic Blacksmithing (240)","","","","1261499","","","Current acquisition requires original World of Warcraft content","https://housing.wowdb.com/decor/2332/steel-ironforge-emblem-2332/","","","1261499","False"
"2452","246685","Dwarven District Banner","classic_theme","acquisition_classic_confirmed","classic","crafted","5 Dwarven District Banner Accents › Wall Hangings Crafting: Tailoring Profession: Classic Tailoring (240)","","","","1261695","","","Current acquisition requires original World of Warcraft content","https://housing.wowdb.com/decor/2452/dwarven-district-banner-2452/","","","1261695","False"
