"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url","cataclysm_quest_ids","cataclysm_achievement_ids","cataclysm_npc_ids","cataclysm_recipe_spell_ids","cataclysm_drop_signal"
"855","245517","Gilnean Cauldron","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Gilnean Cauldron Accents › Food and Drink Crafting: Alchemy Profession: Cataclysm Alchemy (60)","","","","1261255","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/855/gilnean-cauldron-855/","","","","1261255","False"
"856","245519","[DNT] Gilnean Problem Solver - Do Not Use - Updated Asset Available","cataclysm_theme","internal_dnt","","vendor","1 [DNT] Gilnean Problem Solver - Do Not Use - Updated Asset Available Accents › Misc Accents","","","","","","","Internal DNT, duplicate, or do-not-use catalog row","https://housing.wowdb.com/decor/856/dnt-gilnean-problem-solver-do-not-use-updated-asset-available-856/","","","","","False"
"857","245520","Gilnean Celebration Keg","cataclysm_theme","acquisition_dragonflight_confirmed","dragonflight","achievement","1 Gilnean Celebration Keg Accents › Food and Drink Reclamation of Gilneas Marie Allen (Stormglen Village, Gilneas) 150 +1 more source","19719","","211065","","","","Current acquisition requires Reclamation of Gilneas content added in Dragonflight","https://housing.wowdb.com/decor/857/gilnean-celebration-keg-857/","","","","","False"
"858","245518","Worgen's Chicken Coop","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","3 Worgen's Chicken Coop Structural › Misc Structural Last Meal Lord Candren (Darnassus) 150 +1 more source","","24675","50307","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/858/worgens-chicken-coop-858/","24675","","50307","","False"
"859","245516","Gilnean Bench","cataclysm_theme","acquisition_dragonflight_confirmed","dragonflight","vendor","3 Gilnean Bench Furnishings › Seating Marie Allen (Stormglen Village, Gilneas) 75 Samantha Buckley (Ruins of Gilneas) 75","","","211065;216888","","","","Current acquisition requires Reclamation of Gilneas content added in Dragonflight","https://housing.wowdb.com/decor/859/gilnean-bench-859/","","","","","False"
"860","245515","Gilnean Wooden Bed","cataclysm_theme","acquisition_dragonflight_confirmed","dragonflight","vendor","3 Gilnean Wooden Bed Furnishings › Beds Marie Allen (Stormglen Village, Gilneas) 75 Samantha Buckley (Ruins of Gilneas) 75","","","211065;216888","","","","Current acquisition requires Reclamation of Gilneas content added in Dragonflight","https://housing.wowdb.com/decor/860/gilnean-wooden-bed-860/","","","","","False"
"923","245504","Lordaeron Fence","global_acquisition_match","acquisition_cataclysm_confirmed","cataclysm","quest","1 Lordaeron Fence Structural › Misc Structural Lordaeron (Silverpine Forest) Captain Donald Adams (Undercity, Orgrimmar) 127 50","","27098","50304","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/923/lordaeron-fence-923/","27098","","","","False"
"924","245505","Lordaeron Fencepost","global_acquisition_match","acquisition_cataclysm_confirmed","cataclysm","quest","1 Lordaeron Fencepost Structural › Misc Structural Lordaeron (Silverpine Forest) Captain Donald Adams (Undercity, Orgrimmar) 85","","27098","50304","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/924/lordaeron-fencepost-924/","27098","","","","False"
"1281","243335","Tauren Bluff Rug","global_acquisition_match","acquisition_cataclysm_confirmed","cataclysm","quest","3 Tauren Bluff Rug Accents › Floor Walk With The Earth Mother (Mulgore) Brave Tuho (Thunder Bluff) 160","","26397","50483","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1281/tauren-bluff-rug-1281/","26397","","","","False"
"1315","245333","Shadowforge Wooden Box","global_acquisition_match","acquisition_cataclysm_confirmed","cataclysm","quest","1 Shadowforge Wooden Box Furnishings › Storage The Mountain-Lord's Support (Searing Gorge) Master Smith Burninate (Searing Gorge) 150","","28035","14624","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1315/shadowforge-wooden-box-1315/","28035","","","","False"
