"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url","text_signal","mop_quest_ids","mop_npc_ids","mop_currency_ids","mop_recipe_spell_ids"
"767","245332","Tome of Silvermoon Intrigue","global_acquisition_match","acquisition_tww_confirmed","tww","achievement","1 Tome of Silvermoon Intrigue Accents › Ornamental Lorewalking: The Elves of Quel'Thalas Lali the Assistant (Vale of Eternal Blossoms) 2000","61467","","62088","","","","The War Within acquisition; Pandaria location or theme alone does not assign ownership","https://housing.wowdb.com/decor/767/tome-of-silvermoon-intrigue-767/","True","","62088","",""
"1169","245513","Square Pandaren Table","mop_theme","acquisition_mop_confirmed","mop","crafted","1 Square Pandaren Table Furnishings › Tables and Desks Crafting: Inscription Profession: Pandaria Inscription (60)","","","","1261239","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/1169/square-pandaren-table-1169/","True","","","","1261239"
"1172","245512","Pandaren Cradle Stool","mop_theme","acquisition_mop_confirmed","mop","vendor","1 Pandaren Cradle Stool Furnishings › Seating Tan Shin Tiao (Vale of Eternal Blossoms) 240","","","64605","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/1172/pandaren-cradle-stool-1172/","True","","64605","",""
"1187","245514","Pandaren Wooden Table","mop_theme","acquisition_mop_confirmed","mop","crafted","3 Pandaren Wooden Table Furnishings › Tables and Desks Crafting: Inscription Profession: Pandaria Inscription (60)","","","","1261238","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/1187/pandaren-wooden-table-1187/","True","","","","1261238"
"1194","245509","Pandaren Stone Wall","mop_theme","acquisition_mop_confirmed","mop","crafted","1 Pandaren Stone Wall Structural › Misc Structural Crafting: Jewelcrafting Profession: Pandaria Jewelcrafting (60)","","","","1261243","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/1194/pandaren-stone-wall-1194/","True","","","","1261243"
"1201","245508","Pandaren Cooking Table","mop_theme","acquisition_mop_confirmed","mop","vendor","5 Pandaren Cooking Table Furnishings › Tables and Desks Gina Mudclaw (Valley of the Four Winds) 800","","","58706","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/1201/pandaren-cooking-table-1201/","True","","58706","",""
"2453","246686","Grummle Sleeping Bag","mop_theme","acquisition_midnight_confirmed","midnight","vendor","3 Grummle Sleeping Bag Furnishings › Beds Brother Dovetail (Razorwind Shores) Cursed Keepsake","","","249684;262726","","","","Midnight acquisition; Pandaria theme or vendor location alone does not assign ownership","https://housing.wowdb.com/decor/2453/grummle-sleeping-bag-2453/","True","","","",""
"2495","246741","Grummle Bedroll","mop_theme","acquisition_midnight_confirmed","midnight","vendor","1 Grummle Bedroll Furnishings › Beds Brother Dovetail (Razorwind Shores) Cursed Keepsake","","","249684;262726","","","","Midnight acquisition; Pandaria theme or vendor location alone does not assign ownership","https://housing.wowdb.com/decor/2495/grummle-bedroll-2495/","True","","","",""
"2512","246846","Tome of Pandaren Wisdom","mop_theme","acquisition_mop_confirmed","mop","drop","1 Tome of Pandaren Wisdom Accents › Ornamental Encounter: Sha of Doubt (Temple of the Jade Serpent)","","","","","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/2512/tome-of-pandaren-wisdom-2512/","True","","","",""
"2591","247220","Mushan Dumpling Stack","mop_theme","acquisition_mop_confirmed","mop","crafted","1 Mushan Dumpling Stack Accents › Food and Drink Crafting: Cooking Profession: Pandaria Cooking (60)","","","","1266563","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/2591/mushan-dumpling-stack-2591/","True","","","","1266563"
"3831","247661","Pandaren Signal Brazier","mop_theme","acquisition_mop_confirmed","mop","crafted","1 Pandaren Signal Brazier Lighting › Large Lights Crafting: Blacksmithing Profession: Pandaria Blacksmithing (60)","","","","1261235","","","Current acquisition requires Mists of Pandaria content","https://housing.wowdb.com/decor/3831/pandaren-signal-brazier-3831/","True","","","","1261235"
