"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url","wrath_quest_ids","wrath_achievement_ids","wrath_recipe_spell_ids","wrath_text_signal"
"1674","244852","Head of the Broodmother","global_acquisition_match","acquisition_wrath_confirmed","wrath","achievement","3 Head of the Broodmother Accents › Wall Hangings More Dots! (25 player) Axle (Mudsprocket, Dustwallow Marsh) 250","4405","","23995","","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/1674/head-of-the-broodmother-1674/","","4405","","False"
"4448","248622","Wooden Outhouse","global_acquisition_match","acquisition_wrath_confirmed","wrath","quest","5 Wooden Outhouse Structural › Large Structures Doing Your Duty (Grizzly Hills) Woodsman Drake 500","","12227","27391","","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/4448/wooden-outhouse-4448/","12227","","","False"
"4839","248807","Nesingwary Mounted Shoveltusk Head","global_acquisition_match","acquisition_wrath_confirmed","wrath","achievement","3 Nesingwary Mounted Shoveltusk Head Accents › Wall Hangings The Snows of Northrend Purser Boulian (Sholazar Basin) 500","938","","28038","","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/4839/nesingwary-mounted-shoveltusk-head-4839/","","938","","False"
"9475","253598","Banner of the Ebon Blade","wrath_theme","acquisition_midnight_confirmed","midnight","quest","1 Banner of the Ebon Blade Accents › Wall Hangings A Frostbitten Tally (Arcantina) Morta Gage (Arcantina) 500 Voidlight Marl","","92321","252873","","3316","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/9475/banner-of-the-ebon-blade-9475/","","","","False"
"11375","257040","Dalaran Runic Anvil","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","3 Dalaran Runic Anvil Accents › Ornamental Crafting: Blacksmithing Profession: Northrend Blacksmithing (60)","","","","1261327","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11375/dalaran-runic-anvil-11375/","","","1261327","False"
"11432","257094","Mark of the Mages' Eye","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","1 Mark of the Mages' Eye Lighting › Small Lights Crafting: Enchanting Profession: Northrend Enchanting (60)","","","","1262824","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11432/mark-of-the-mages-eye-11432/","","","1262824","False"
"11439","257101","Stampwhistle's Postal Portal","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","1 Stampwhistle's Postal Portal Functional › Utility Crafting: Enchanting Profession: Northrend Enchanting (60)","","","","1262825","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11439/stampwhistles-postal-portal-11439/","","","1262825","False"
"11722","257693","Snowfall Tribe Scare-Totem","global_acquisition_match","acquisition_wrath_confirmed","wrath","crafted","3 Snowfall Tribe Scare-Totem Miscellaneous › Miscellaneous - All Crafting: Leatherworking Profession: Northrend Leatherworking (60)","","","","1269499","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11722/snowfall-tribe-scare-totem-11722/","","","1269499","False"
"11872","258145","Eversong Party Platter","global_acquisition_match","acquisition_wrath_confirmed","wrath","quest","1 Eversong Party Platter Accents › Food and Drink Cheese for Glowergold (Dalaran)","","","","","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11872/eversong-party-platter-11872/","","","","True"
"11891","258203","Silver Dalaran Bench","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","3 Silver Dalaran Bench Furnishings › Seating Crafting: Inscription Profession: Northrend Inscription (60)","","","","1263562","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11891/silver-dalaran-bench-11891/","","","1263562","False"
