decision,decision_basis,achievement_id,title,description,root_category,category_id,category_path,points,flags,criteria_tree_id,reward_item_id,att_source_files,followup_reason
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,621,Represent,Collect a tabard slot appearance.,Collections,15246,Collections,10,131072,60642,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,1020,Ten Tabards,Collect 10 tabard slot appearances.,Collections,15246,Collections,10,131072,60636,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,1021,Twenty-Five Tabards,Collect 25 tabard slot appearances.,Collections,15246,Collections,10,131072,60638,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,1165,"My Storage is ""Gigantique""","Equip Haris Pilton's ""Gigantique"" Bag.",Collections,15246,Collections,10,131072,6949,0,Zones.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,2076,Armored Brown Bear,Obtain an Armored Brown Bear from Mei Francis in Dalaran.,Collections,15248,Collections > Mounts,10,131072,11216,0,Zones.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,2077,Wooly Mammoth,Obtain a Wooly Mammoth from Mei Francis in Dalaran.,Collections,15248,Collections > Mounts,10,131072,13104,0,Zones.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,2078,Traveler's Tundra Mammoth,Obtain a Traveler's Tundra Mammoth from Mei Francis in Dalaran.,Collections,15248,Collections > Mounts,10,131072,11039,0,Zones.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,2084,Ring of the Kirin Tor,"Purchase a Signet of the Kirin Tor, Band of the Kirin Tor, Loop of the Kirin Tor, or Ring of the Kirin Tor in Dalaran.",Collections,15246,Collections,10,0,8638,0,Zones.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,2097,Get to the Choppa!,Obtain a Mekgineer's Chopper or a Mechano-hog.,Collections,15248,Collections > Mounts,10,131072,10536,0,Craftables.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,2141,Stable Keeper,Obtain 10 mounts (usable by a single character).,Collections,15248,Collections > Mounts,10,131072,10644,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,2142,Filling Up The Barn,Obtain 25 mounts (usable by a single character).,Collections,15248,Collections > Mounts,10,131072,10605,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,2143,Leading the Cavalry,Obtain 50 mounts (usable by a single character).,Collections,15248,Collections > Mounts,10,131072,10647,44178,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,2536,Mountain o' Mounts,Obtain 100 mounts (usable by a single character).,Collections,15248,Collections > Mounts,10,135168,3059,44843,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,2537,Mountain o' Mounts,Obtain 100 mounts (usable by a single character).,Collections,15248,Collections > Mounts,10,135168,14389,44842,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,4888,One Hump or Two?,Obtain a camel mount in Uldum (with just one hump).,Collections,15248,Collections > Mounts,10,131072,17759,0,Zones.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,5749,Vial of the Sands,Learn how to transform into a dragon and carry an ally.,Collections,15248,Collections > Mounts,10,131072,20630,0,Craftables.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,5755,Thirty Tabards,Collect 30 tabard slot appearances.,Collections,15246,Collections,10,131072,60640,0,Character.lua,collection_category
confirmed_catalog_gap_needs_placement,current_db2_player_facing_and_att_catalog_but_not_collectionist,7274,Learning from the Best,Become best friends with Nat Pagle.,Professions,171,Professions > Fishing,10,131072,23737,86596,ExpansionFeatures.lua,reward_item_already_tracked
