"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url","tbc_achievement_ids","tbc_recipe_spell_ids","tbc_text_signal"
"2505","246802","Zangarshroom Patch","tbc_theme","internal_hidden","","vendor","100 Zangarshroom Patch Nature › Large Foliage","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/2505/zangarshroom-patch-2505/","","","False"
"3898","247761","Uncontested Battlefield Banner","global_acquisition_match","acquisition_tbc_confirmed","the_burning_crusade","achievement","3 Uncontested Battlefield Banner Accents › Ornamental Storm Capper Joruh (Orgrimmar) 400 Honor +1 more source","212","","254606","","1792","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/3898/uncontested-battlefield-banner-3898/","212","","False"
"3899","247762","Netherstorm Battlefield Flag","global_acquisition_match","acquisition_tbc_confirmed","the_burning_crusade","achievement","3 Netherstorm Battlefield Flag Accents › Ornamental Stormtrooper Joruh (Orgrimmar) 300 Honor +1 more source","213","","254606","","1792","","Current acquisition requires Burning Crusade content","https://housing.wowdb.com/decor/3899/netherstorm-battlefield-flag-3899/","213","","False"
"3908","247771","Zangarmarsh Lamppost","tbc_theme","internal_hidden","","vendor","100 Interior Only Zangarmarsh Lamppost Lighting › Small Lights","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3908/zangarmarsh-lamppost-3908/","","","False"
"3909","247772","Small Zangarshroom Patch","tbc_theme","internal_hidden","","vendor","100 Small Zangarshroom Patch Nature › Ground Cover","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3909/small-zangarshroom-patch-3909/","","","False"
"3910","247773","Sturdy Zangarshelf","tbc_theme","internal_hidden","","vendor","100 Sturdy Zangarshelf Accents › Wall Hangings","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3910/sturdy-zangarshelf-3910/","","","False"
"3911","247774","Orange Zangarmarsh Tree","tbc_theme","internal_hidden","","vendor","100 Orange Zangarmarsh Tree Nature › Large Foliage","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3911/orange-zangarmarsh-tree-3911/","","","False"
"3912","247775","Glowing Zangarshroom Bowl","tbc_theme","internal_hidden","","vendor","100 Glowing Zangarshroom Bowl Accents › Misc Accents","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3912/glowing-zangarshroom-bowl-3912/","","","False"
"3913","247776","Glowing Zangarshroom Cup","tbc_theme","acquisition_midnight_confirmed","midnight","vendor","1 Glowing Zangarshroom Cup Accents › Misc Accents Throska (Razorwind Shores)","","","257168","","","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/3913/glowing-zangarshroom-cup-3913/","","","False"
"3914","247777","Blue Zangarmarsh Tree","tbc_theme","internal_hidden","","vendor","100 Blue Zangarmarsh Tree Nature › Large Foliage","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3914/blue-zangarmarsh-tree-3914/","","","False"
