"decor_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","decor_spell_id","item_id","classification_note","acquisition_source_url"
"126","Rolled Scroll","wod_theme","acquisition_midnight_confirmed","midnight","vendor","Sources Vendor: Sergeant Crowler (Lunarfall) Copy Waypoint","","","88223","","","","1238355","245275","Displayed acquisition belongs to midnight content, not Warlords of Draenor","https://housing.wowdb.com/decor/126/rolled-scroll-126/"
"519","Orcish Wooden Bench","wod_theme","catalog_hidden_unobtainable","","drop","","","","","","","","1238562","245430","No current acquisition source is displayed","https://housing.wowdb.com/decor/519/orcish-wooden-bench-519/"
"750","Tirisgarde Book Tempest","wod_theme","acquisition_legion_confirmed","legion","achievement","Sources Achievement: The Archmage's Campaign Requirement: The The Archmage's Campaign Achievement must be completed to unlock or purchase this item for your housing collection. Vendor: Jackson Watkins A H (Hall of the Guardian) 1500 Order Resources Legion Copy Waypoint","42274","","112440","","1220","","1238561","245429","Displayed acquisition belongs to legion content, not Warlords of Draenor","https://housing.wowdb.com/decor/750/tirisgarde-book-tempest-750/"
"926","Argussian Crate","wod_theme","acquisition_legion_confirmed","legion","drop","Sources Drop: World Creatures Encounter: Seat of the Triumvirate - L'ura (The Seat of the Triumvirate)","","","","","","","1230953","241044","Displayed acquisition belongs to legion content, not Warlords of Draenor","https://housing.wowdb.com/decor/926/argussian-crate-926/"
"930","Draenic Bookcase","wod_theme","acquisition_legion_confirmed","legion","quest","Sources Quest: A Non-Prophet Organization (Krokuun, Eredath) Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Toraan the Revered H (The Vindicaar) 640 Argussian Reach • Legion Copy Waypoint","","47691","127151","","","","1238552","245422","Displayed acquisition belongs to legion content, not Warlords of Draenor","https://housing.wowdb.com/decor/930/draenic-bookcase-930/"
"1118","Dark Iron Expedition Tent","wod_theme","acquisition_bfa_confirmed","bfa","quest","Sources Quest: Dark Iron Dwarves (Stormwind City, Blackrock Depths) Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Dedric Sleetshaper A (Dun Morogh) 1200 Vanilla Copy Waypoint","","53566","253235","","","","1238559","245427","Displayed acquisition belongs to bfa content, not Warlords of Draenor","https://housing.wowdb.com/decor/1118/dark-iron-expedition-tent-1118/"
"1216","Dark Iron Brazier","wod_theme","acquisition_cata_confirmed","cata","achievement","Sources Achievement: Kings Under the Mountain Requirement: The Kings Under the Mountain Achievement must be completed to unlock or purchase this item for your housing collection. Vendor: Dedric Sleetshaper A (Dun Morogh) 700 Vanilla Achievement: ""Kings under the Mountain"" Copy Waypoint","4859","","253235","","","","1238558","245426","Displayed acquisition belongs to cata content, not Warlords of Draenor","https://housing.wowdb.com/decor/1216/dark-iron-brazier-1216/"
"1315","Shadowforge Wooden Box","wod_theme","acquisition_cata_confirmed","cata","quest","Sources Quest: The Mountain-Lord's Support (Searing Gorge) Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Master Smith Burninate H (Searing Gorge) 150 Vanilla Quest: ""The Mountain-Lord's Support"" Copy Waypoint","","28035","14624","","","","1238433","245333","Displayed acquisition belongs to cata content, not Warlords of Draenor","https://housing.wowdb.com/decor/1315/shadowforge-wooden-box-1315/"
"1319","Durotar Signal Brazier","wod_theme","catalog_hidden_unobtainable","","drop","","","","","","","","1238571","245439","No current acquisition source is displayed","https://housing.wowdb.com/decor/1319/durotar-signal-brazier-1319/"
"1320","Durotar Hanging Brazier","wod_theme","catalog_hidden_unobtainable","","drop","","","","","","","","1238573","245440","No current acquisition source is displayed","https://housing.wowdb.com/decor/1320/durotar-hanging-brazier-1320/"
"2322","Gnomish T.O.O.L.B.O.X.","wod_theme","acquisition_bfa_confirmed","bfa","achievement","Sources Achievement: M.C., Hammered Requirement: The M.C., Hammered Achievement must be completed to unlock or purchase this item for your housing collection. Vendor: Stolen Royal Vendorbot (Mechagon) 5 Community Coupons Rustbolt Resistance • Battle for Azeroth Copy Waypoint","13723","","150716","","3363","","1242327","246479","Displayed acquisition belongs to bfa content, not Warlords of Draenor","https://housing.wowdb.com/decor/2322/gnomish-toolbox-2322/"
"2323","Automated Gnomeregan Guardian","wod_theme","acquisition_bfa_confirmed","bfa","vendor","Sources Vendor: Stolen Royal Vendorbot (Mechagon) 800 & 5 Chain Ignitercoil & 5 Galvanic Oscillator Rustbolt Resistance (Exalted) • Battle for Azeroth Requirement: Reach Exalted with Rustbolt Resistance to unlock this item for your housing collection. Copy Waypoint","","","150716","","","168327;168832","1242328","246480","Displayed acquisition belongs to bfa content, not Warlords of Draenor","https://housing.wowdb.com/decor/2323/automated-gnomeregan-guardian-2323/"
"2513","Tome of Draenei Faith","wod_theme","acquisition_midnight_confirmed","midnight","vendor","Sources Vendor: Lonalo H (Orgrimmar) 2000 Copy Waypoint Vendor: Solelo A (Stormwind City) 2000 Copy Waypoint","","","256119;256071","","","","1244119","246847","Displayed acquisition belongs to midnight content, not Warlords of Draenor","https://housing.wowdb.com/decor/2513/tome-of-draenei-faith-2513/"
"2514","Scribe's Working Notes","wod_theme","acquisition_midnight_confirmed","midnight","vendor","Sources Vendor: Lonalo H (Orgrimmar) 2000 Copy Waypoint Vendor: Solelo A (Stormwind City) 2000 Copy Waypoint","","","256119;256071","","","","1244120","246848","Displayed acquisition belongs to midnight content, not Warlords of Draenor","https://housing.wowdb.com/decor/2514/scribes-working-notes-2514/"
"3835","Gate of the Apexis","wod_theme","catalog_hidden_unobtainable","","drop","","","","","","","","1245021","247665","No current acquisition source is displayed","https://housing.wowdb.com/decor/3835/gate-of-the-apexis-3835/"
"3896","Horde Battlefield Banner","wod_theme","acquisition_wrath_confirmed","wrath","achievement","Sources Achievement: Overly Defensive Requirement: The Overly Defensive Achievement must be completed to unlock or purchase this item for your housing collection. Vendor: Joruh H (Orgrimmar) 600 Honor","1153","","254606","","1792","","1245256","247759","Displayed acquisition belongs to wrath content, not Warlords of Draenor","https://housing.wowdb.com/decor/3896/horde-battlefield-banner-3896/"
"3897","Fortified Horde Banner","wod_theme","acquisition_wrath_confirmed","wrath","achievement","Sources Achievement: Tower Defense Requirement: The Tower Defense Achievement must be completed to unlock or purchase this item for your housing collection. Vendor: Joruh H (Orgrimmar) 1200 Honor","222","","254606","","1792","","1245257","247760","Displayed acquisition belongs to wrath content, not Warlords of Draenor","https://housing.wowdb.com/decor/3897/fortified-horde-banner-3897/"
"3898","Uncontested Battlefield Banner","wod_theme","acquisition_wrath_confirmed","wrath","achievement","Sources Achievement: Storm Capper Requirement: The Storm Capper Achievement must be completed to unlock or purchase this item for your housing collection. Vendor: Joruh H (Orgrimmar) 400 Honor Copy Waypoint Vendor: Riica A (Stormwind City) 400 Honor Copy Waypoint","212","","254606;254603","","1792","","1245258","247761","Displayed acquisition belongs to wrath content, not Warlords of Draenor","https://housing.wowdb.com/decor/3898/uncontested-battlefield-banner-3898/"
"3900","Berserker's Empowerment","wod_theme","acquisition_midnight_confirmed","midnight","achievement","Sources Achievement: Entering Battle Requirement: The Entering Battle Achievement must be completed to unlock or purchase this item for your housing collection. Vendor: Joruh H (Orgrimmar) 5 Mark of Honor Copy Waypoint Vendor: Riica A (Stormwind City) 5 Mark of Honor Copy Waypoint","61683","","254606;254603","","","137642","1245260","247763","Displayed acquisition belongs to midnight content, not Warlords of Draenor","https://housing.wowdb.com/decor/3900/berserkers-empowerment-3900/"
"3902","Healer's Empowerment","wod_theme","acquisition_midnight_confirmed","midnight","achievement","Sources Achievement: Champion in Battle Requirement: The Champion in Battle Achievement must be completed to unlock or purchase this item for your housing collection. Vendor: Joruh H (Orgrimmar) 5 Mark of Honor Copy Waypoint Vendor: Riica A (Stormwind City) 5 Mark of Honor Copy Waypoint","61687","","254606;254603","","","137642","1245262","247765","Displayed acquisition belongs to midnight content, not Warlords of Draenor","https://housing.wowdb.com/decor/3902/healers-empowerment-3902/"
"3903","Runner's Empowerment","wod_theme","acquisition_midnight_confirmed","midnight","achievement","Sources Achievement: Master in Battle Requirement: The Master in Battle Achievement must be completed to unlock or purchase this item for your housing collection. Vendor: Joruh H (Orgrimmar) 5 Mark of Honor Copy Waypoint Vendor: Riica A (Stormwind City) 5 Mark of Honor Copy Waypoint","61688","","254606;254603","","","137642","1245263","247766","Displayed acquisition belongs to midnight content, not Warlords of Draenor","https://housing.wowdb.com/decor/3903/runners-empowerment-3903/"
"3905","Guardian's Empowerment","wod_theme","acquisition_midnight_confirmed","midnight","achievement","Sources Achievement: Progressing in Battle Requirement: The Progressing in Battle Achievement must be completed to unlock or purchase this item for your housing collection. Vendor: Joruh H (Orgrimmar) 5 Mark of Honor Copy Waypoint Vendor: Riica A (Stormwind City) 5 Mark of Honor Copy Waypoint","61684","","254606;254603","","","137642","1245265","247768","Displayed acquisition belongs to midnight content, not Warlords of Draenor","https://housing.wowdb.com/decor/3905/guardians-empowerment-3905/"
"4401","Stormwind Footlocker","wod_theme","acquisition_cata_confirmed","cata","drop","Sources Drop: Deadmines Encounter: Deadmines - Vanessa VanCleef","","","","","","","1246969","248332","Displayed acquisition belongs to cata content, not Warlords of Draenor","https://housing.wowdb.com/decor/4401/stormwind-footlocker-4401/"
"4402","Stormwind Large Wooden Table","wod_theme","acquisition_vanilla_confirmed","vanilla","vendor","Sources Vendor: Captain Lancy Revshon A (Stormwind City) 95 Stormwind (Honored) • Vanilla Requirement: Reach Honored with Stormwind to unlock this item for your housing collection. Copy Waypoint","","","49877","","","","1246970","248333","Displayed acquisition belongs to vanilla content, not Warlords of Draenor","https://housing.wowdb.com/decor/4402/stormwind-large-wooden-table-4402/"
"4405","Stormwind Wooden Table","wod_theme","acquisition_shadowlands_confirmed","shadowlands","quest","Sources Quest: Welcome to Stormwind Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Captain Lancy Revshon A (Stormwind City) 285 Stormwind • Vanilla Quest ""Welcome to Stormwind"" Copy Waypoint","","59583","49877","","","","1246973","248336","Displayed acquisition belongs to shadowlands content, not Warlords of Draenor","https://housing.wowdb.com/decor/4405/stormwind-wooden-table-4405/"
"4443","Stormwind Keg Stand","wod_theme","acquisition_vanilla_confirmed","vanilla","vendor","Sources Vendor: Captain Lancy Revshon A (Stormwind City) 142 50 Stormwind (Revered) • Vanilla Requirement: Reach Revered with Stormwind to unlock this item for your housing collection. Copy Waypoint","","","49877","","","","1247323","248617","Displayed acquisition belongs to vanilla content, not Warlords of Draenor","https://housing.wowdb.com/decor/4443/stormwind-keg-stand-4443/"
"4444","Westfall Woven Basket","wod_theme","acquisition_cata_confirmed","cata","quest","Sources Quest: You Have Our Thanks (Westfall) Requirement: Complete this quest to unlock this item for your housing collection. Vendor: Captain Lancy Revshon A (Stormwind City) 190 Stormwind • Vanilla Copy Waypoint","","26270","49877","","","","1247324","248618","Displayed acquisition belongs to cata content, not Warlords of Draenor","https://housing.wowdb.com/decor/4444/westfall-woven-basket-4444/"
