decor_id,catalog_name,status,acquisition_expansion,source_text,achievement_ids,quest_ids,npc_ids,spell_ids,currency_ids,classification_note,acquisition_source_url
"562","Winter Veil Tree","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/562/winter-veil-tree-562/"
"714","Silvermoon Wooden Chair","acquisition_midnight_confirmed","midnight","Dethelin (Silvermoon City) 3000 Resonance Crystals Materialist Ophinell (Twilight Highlands) 50 Twilight's Blade Insignia","","","249196;250982","","2815;3319","Displayed acquisition source is a Midnight zone, housing vendor, quest, or currency","https://housing.wowdb.com/decor/714/silvermoon-wooden-chair-714/"
"715","Small Silvermoon Bookcase","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/715/small-silvermoon-bookcase-715/"
"716","Reliquary Storage Crate","acquisition_dragonflight_confirmed","dragonflight","Cataloger Jakes (Dragonscale Basecamp) 100 Dragon Isles Supplies Rae'ana (Dragonscale Basecamp) 100 Dragon Isles Supplies","","","188265;189226","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/716/reliquary-storage-crate-716/"
"717","Long Sin'dorei Rug","acquisition_dragonflight_confirmed","dragonflight","Cataloger Jakes (Dragonscale Basecamp) 250 Dragon Isles Supplies Rae'ana (Dragonscale Basecamp) 250 Dragon Isles Supplies","","","188265;189226","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/717/long-sindorei-rug-717/"
"718","Circular Sin'dorei Rug","acquisition_dragonflight_confirmed","dragonflight","Cataloger Jakes (Dragonscale Basecamp) 250 Dragon Isles Supplies Rae'ana (Dragonscale Basecamp) 250 Dragon Isles Supplies","","","188265;189226","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/718/circular-sindorei-rug-718/"
"720","Reliquary Telescope","acquisition_dragonflight_confirmed","dragonflight","Cataloger Jakes (Dragonscale Basecamp) 750 Dragon Isles Supplies Rae'ana (Dragonscale Basecamp) 750 Dragon Isles Supplies","","","188265;189226","","2003","Displayed acquisition source is Dragonflight content","https://housing.wowdb.com/decor/720/reliquary-telescope-720/"
"757","""Aspects in the Clouds"" Painting","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/757/aspects-in-the-clouds-painting-757/"
"758","""Water Falls Home"" Painting","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/758/water-falls-home-painting-758/"
"866","Studious Sin'dorei Desk","catalog_hidden_unobtainable","","","","","","","","No acquisition source; current HouseDecor flags include HiddenInCatalog","https://housing.wowdb.com/decor/866/studious-sindorei-desk-866/"
