"status","current_exists","achievement_id","title","description","category_id","category_name","criteria_tree_id","reward_item_id","flags","points"
"shadowlands_category_confirmed","True","13878","The Master of Revendreth","Complete the Revendreth storylines listed below.","15422","Shadowlands","81920","0","0","10"
"shadowlands_category_confirmed","True","14164","Awaken, Ardenweald","Complete the Ardenweald storylines listed below.","15422","Shadowlands","83602","0","0","10"
"shadowlands_category_confirmed","True","14197","Sanguine Depths","Defeat General Kaal in Sanguine Depths.","15428","Shadowlands Dungeon","84701","0","0","10"
"shadowlands_category_confirmed","True","14198","Heroic: Sanguine Depths","Defeat General Kaal in Sanguine Depths on Heroic difficulty or higher.","15428","Shadowlands Dungeon","84703","0","0","10"
"shadowlands_category_confirmed","True","14199","Mythic: Sanguine Depths","Defeat General Kaal in Sanguine Depths on Mythic or Mythic Keystone difficulty.","15428","Shadowlands Dungeon","84705","0","0","10"
"snapshot_candidate","True","14200","Mythic: Sanguine Depths Guild Run","Defeat General Kaal in Sanguine Depths on Mythic difficulty while in a guild group.","15429","Shadowlands Dungeon","84711","0","49152","10"
"snapshot_candidate","True","14201","General Kaal kills (Normal Sanguine Depths)","","15430","Shadowlands","84713","0","1","0"
"snapshot_candidate","True","14202","General Kaal kills (Heroic Sanguine Depths)","","15430","Shadowlands","84715","0","1","0"
"snapshot_candidate","True","14205","General Kaal kills (Mythic Sanguine Depths)","","15430","Shadowlands","84717","0","1","0"
"shadowlands_category_confirmed","True","14206","Blade of the Primus","Complete the Maldraxxus storylines listed below.","15422","Shadowlands","84731","0","0","10"
"snapshot_candidate","True","14213","9.0 - Covenant - Night Fae - Soulshape Selected","Soulshape form currently selected if you have joined the Night Fae covenant.","130","Character","84764","0","3145733","0"
"snapshot_candidate","True","14221","<Hidden> - NPE - Sold Item","","96","Quests","84853","0","1048576","0"
"snapshot_candidate","True","14222","Exile's Reach","Escape the isle of Exile's Reach and embark upon a greater adventure.","96","Quests","84901","0","131072","10"
"snapshot_candidate","True","14223","<Hidden> - NPE - Bought Item","","96","Quests","84857","0","1048576","0"
"shadowlands_category_confirmed","True","14233","Tea Tales","Hear every side of the story at Theotar's tea party.","15422","Shadowlands","84917","0","0","10"
"snapshot_candidate","True","14235","9.0 Shadowlands - Expansion Quest Launch - Prologue","","92","Character","85059","0","1310724","0"
"snapshot_candidate","True","14271","WoW's 16th Anniversary","Logged in during WoW's 16th Anniversary.","15274","Events","85171","178513","2048","0"
"shadowlands_category_confirmed","True","14272","Best Bud With Benefits","Earn Stonehead's friendship in Revendreth.","15436","Shadowlands","85204","0","0","5"
"shadowlands_category_confirmed","True","14273","Crypt Kicker","Open 50 Atonement Crypts in Revendreth.","15436","Shadowlands","85208","0","0","5"
"shadowlands_category_confirmed","True","14274","Absolution for All","Help 100 fugitive souls complete a ritual of absolution in Revendreth.","15436","Shadowlands","85210","0","0","5"
"shadowlands_category_confirmed","True","14276","It's Always Sinny in Revendreth","Defeat the following inquisitors in Revendreth.","15436","Shadowlands","85212","0","0","5"
"shadowlands_category_confirmed","True","14277","The Accuser's Avowed","Complete the Revendreth achievements listed below.","15436","Shadowlands","85225","0","131072","15"
"shadowlands_category_confirmed","True","14280","Loremaster of Shadowlands","Complete the Shadowlands quest achievements listed below.","15422","Shadowlands","85294","0","131072","10"
"shadowlands_category_confirmed","True","14281","The Path to Ascension","Complete the Bastion storylines listed below.","15422","Shadowlands","85231","0","0","10"
"snapshot_candidate","True","14283","Heroic Edition: Ensorcelled Everwyrm","Owner of the Shadowlands Heroic Edition Ensorcelled Everwyrm mount.","15268","Promotions","85314","0","133120","0"
"shadowlands_category_confirmed","True","14284","Breaking Bad","Defeat Echelon after shattering 18 or more Undying Stonefiends at one time in the Halls of Atonement on Mythic difficulty.","15428","Shadowlands Dungeon","85320","0","0","10"
"shadowlands_category_confirmed","True","14285","Ready for Raiding VII","Defeat Nalthor the Rimebinder without being struck by Comet Storm, Blizzard, or the secondary effect of Frozen Binds in the Necrotic Wake on Mythic difficulty.","15428","Shadowlands Dungeon","85466","0","0","10"
"shadowlands_category_confirmed","True","14286","Residue Evil","Defeat Executor Tarvold after slaying 8 Forlorn Captives with the effects of Residue in Sanguine Depths on Mythic difficulty.","15428","Shadowlands Dungeon","85470","0","0","10"
"snapshot_candidate","True","14287","<Hidden> Completed New Player Experience (Account)","Once earned, the player is no longer considered ""new"" and is allowed to choose between Exlie's Reach and the racial starting experience when creating a new character.","96","Quests","85509","0","11665412","0"
"shadowlands_category_hidden","True","14288","<Hidden> - The Master of Lies - Scenario Complete","","15422","Shadowlands","85532","0","1048576","0"
"shadowlands_category_confirmed","True","14289","Kaal-ed Shot","Defeat General Kaal while affected by Slammed! in the Sanguine Depths on Mythic difficulty.","15428","Shadowlands Dungeon","85555","0","0","10"
"shadowlands_category_confirmed","True","14290","I Only Have Eyes For You","Defeat Duraka the Unbreakable in the Sanguine Depths on Mythic difficulty.","15428","Shadowlands Dungeon","85557","0","0","10"
"shadowlands_category_confirmed","True","14291","Someone Could Trip on These!","Find Mistcaller's 6 toys in the Mists of Tirna Scithe on Mythic difficulty.","15428","Shadowlands Dungeon","85592","0","0","10"
"shadowlands_category_confirmed","True","14292","Riding with my Slimes","Defeat all bosses while affected by Plaguefallen within a single visit in Plaguefall on Mythic difficulty.","15428","Shadowlands Dungeon","85642","0","0","10"
"shadowlands_category_confirmed","True","14293","Blind as a Bat","Defeat Shriekwing after she kills six Sneaky Servitors in Castle Nathria on Normal difficulty or higher.","15438","Shadowlands Raid","85647","0","0","10"
"shadowlands_category_confirmed","True","14294","Dirtflap's Revenge","Defeat Sludgefist after he collides with pillars in Dirtflap's preferred order in Castle Nathria on Normal difficulty or higher.","15438","Shadowlands Raid","85644","0","0","10"
"shadowlands_category_confirmed","True","14295","Bountiful Harvest","Defeat Amarth the Harvester after he's consumed the corpse of a Grisly Colossus using Final Harvest  in the Necrotic Wake on Mythic difficulty.","15428","Shadowlands Dungeon","85735","0","0","10"
"shadowlands_category_confirmed","True","14296","Going Viral","Defeat Doctor Ickus after destroying 2 Volatile Plague Bombs in Plaguefall on Mythic difficulty.","15428","Shadowlands Dungeon","85653","0","0","10"
