decor_id,catalog_name,status,acquisition_expansion,source_text,classification_note,acquisition_source_url
"11924","Ardenweald Hanging Baskets","acquisition_shadowlands_confirmed","shadowlands","Crafting: Inscription; Profession: Shadowlands Inscription (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"11918","Ardenweald Lamppost","acquisition_shadowlands_confirmed","shadowlands","Crafting: Enchanting; Profession: Shadowlands Enchanting (90)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"11383","Aspirant's Meditation Pool","acquisition_shadowlands_confirmed","shadowlands","Crafting: Blacksmithing; Profession: Shadowlands Blacksmithing (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"16014","Aspirant's Ringed Banner","acquisition_shadowlands_confirmed","shadowlands","Crafting: Tailoring; Profession: Shadowlands Tailoring (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"11917","Aspiring Soul's Chair","acquisition_shadowlands_confirmed","shadowlands","Crafting: Inscription; Profession: Shadowlands Inscription (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"11384","Bejeweled Venthyr Chalice","acquisition_shadowlands_confirmed","shadowlands","Crafting: Blacksmithing; Profession: Shadowlands Blacksmithing (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"7896","Bel'ameth Traveler's Pack","acquisition_dragonflight_confirmed","dragonflight","Quest: The Returning (Amirdrassil); Vendor: Ellandrieth (Amirdrassil), 300 Dragon Isles Supplies","The acquisition source is Dragonflight content despite the Shadowlands theme tag","https://housing.wowdb.com/decor/?tags=shadowlands"
"11923","Broker's Hex Table","acquisition_shadowlands_confirmed","shadowlands","Crafting: Inscription; Profession: Shadowlands Inscription (80)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"2468","Caramel Mint Noodle Dish","acquisition_shadowlands_confirmed","shadowlands","Crafting: Cooking; Profession: Shadowlands Cooking (60)","Acquisition is a Shadowlands profession craft","https://housing.wowdb.com/decor/?tags=shadowlands"
"14359","Cartel Collector's Cage","acquisition_tww_confirmed","tww","Quest: Manaforge Omega: Dimensius Looms (K'aresh); Vendor: Ta'sam (Tazavesh), 500 Resonance Crystals","The acquisition source is The War Within content despite the Shadowlands theme tag","https://housing.wowdb.com/decor/?tags=shadowlands"
