decor_id,item_id,name,decision,acquisition,evidence,note
4841,248808,Nesingwary Mounted Elk Head,current_acquisition_page,The Green Hills of Stranglethorn Jaquilina Dramet (Stranglethorn Vale) 450,https://housing.wowdb.com/decor/4841/nesingwary-mounted-elk-head-4841/,
9263,253242,Horde Warlord's Throne,current_acquisition_page,Encounter: Garrosh Hellscream (Siege of Orgrimmar),https://housing.wowdb.com/decor/9263/horde-warlords-throne-9263/,
21886,272142,Purified Earthen Pot,current_acquisition_page,"Cursed Keepsake (Founder's Point, Razorwind Shores) Cursed Keepsake",https://housing.wowdb.com/decor/?page=9&source_types=Quest,Current catalog lists the Cursed Keepsake acquisition; direct detail page was not fetchable.
23176,276650,Maruukai Barricade,released_endeavor_reward,Roshai Lightstep (Founder's Point),https://housing.wowdb.com/endeavors/20/every-bakar-has-its-day/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Available when the relevant neighborhood endeavor is active; vendor positions can differ by faction.
23177,276626,Wide Maruukai Barricade,released_endeavor_reward,Roshai Lightstep (Founder's Point),https://housing.wowdb.com/endeavors/20/every-bakar-has-its-day/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Available when the relevant neighborhood endeavor is active; vendor positions can differ by faction.
23178,276669,Maruukai Storage Basket,released_endeavor_reward,Roshai Lightstep (Founder's Point),https://housing.wowdb.com/endeavors/20/every-bakar-has-its-day/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Available when the relevant neighborhood endeavor is active; vendor positions can differ by faction.
23179,276671,Open Maruukai Storage Basket,released_endeavor_reward,Roshai Lightstep (Razorwind Shores),https://housing.wowdb.com/endeavors/20/every-bakar-has-its-day/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Available when the relevant neighborhood endeavor is active; vendor positions can differ by faction.
23180,276656,Maruukai Wooden Table,released_endeavor_reward,Roshai Lightstep (Razorwind Shores),https://housing.wowdb.com/endeavors/20/every-bakar-has-its-day/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Available when the relevant neighborhood endeavor is active; vendor positions can differ by faction.
23181,276658,Maruukai Feast Table,released_endeavor_reward,Roshai Lightstep (Founder's Point),https://housing.wowdb.com/endeavors/20/every-bakar-has-its-day/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Available when the relevant neighborhood endeavor is active; vendor positions can differ by faction.
23182,276663,Bakar's Napping Rug,released_endeavor_reward,Roshai Lightstep (Founder's Point),https://housing.wowdb.com/endeavors/20/every-bakar-has-its-day/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Available when the relevant neighborhood endeavor is active; vendor positions can differ by faction.
23183,276665,Ornate Khanam's Rug,released_endeavor_reward,Roshai Lightstep (Razorwind Shores),https://housing.wowdb.com/endeavors/20/every-bakar-has-its-day/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Available when the relevant neighborhood endeavor is active; vendor positions can differ by faction.
23184,276667,Large Ornate Khanam's Rug,released_endeavor_reward,Roshai Lightstep (Founder's Point),https://housing.wowdb.com/endeavors/20/every-bakar-has-its-day/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Available when the relevant neighborhood endeavor is active; vendor positions can differ by faction.
23185,276661,Maruukai Chef's Stove,released_endeavor_reward,Roshai Lightstep (Founder's Point),https://housing.wowdb.com/endeavors/20/every-bakar-has-its-day/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Available when the relevant neighborhood endeavor is active; vendor positions can differ by faction.
23186,276652,Tapered Maruukai Barricade,released_endeavor_reward,Roshai Lightstep (Founder's Point),https://housing.wowdb.com/endeavors/20/every-bakar-has-its-day/;https://worldofwarcraft.blizzard.com/en-gb/news/24294370/curse-of-ulatek-now-live-journey-to-the-coiled-isle,Available when the relevant neighborhood endeavor is active; vendor positions can differ by faction.
