decor_id,catalog_name,category,source_text,achievement_ids,quest_ids,npc_ids,spell_ids,currency_ids
"592","Algari Lettuce Plant","Nature › Small Foliage","","","","","",""
"759","Dornic Mine and Cheese Platter","Accents › Food and Drink","Crafting: Cooking Profession: Khaz Algar Cooking (80)","","","","1245993",""
"760","Literature of Dornogal","Accents › Ornamental","Auditor Balwurz (Dornogal) 1000 Resonance Crystals","","","223728","","2815"
"761","Literature of Taelloch","Accents › Ornamental","Auditor Balwurz (Dornogal) 1000 Resonance Crystals","","","223728","","2815"
"762","Literature of Gundargaz","Accents › Ornamental","Auditor Balwurz (Dornogal) 1000 Resonance Crystals","","","223728","","2815"
"763","Collection of Arathi Scripture","Accents › Ornamental","Lars Bronsmaelt (Hallowfall) 1200 Resonance Crystals","","","240852","","2815"
"764","Councilward's Jeweled Goblet","Accents › Food and Drink","Drop: Theater Troupe event chest (Isle of Dorn)","","","","",""
"765","Kaheti Predator's Assortment","Accents › Food and Drink","Crafting: Cooking Profession: Khaz Algar Cooking (80)","","","","1266541",""
"767","Tome of Silvermoon Intrigue","Accents › Ornamental","Lorewalking: The Elves of Quel'Thalas Lali the Assistant (Vale of Eternal Blossoms) 2000","61467","","62088","",""
"825","Cozy Four-Pipe Bed","Furnishings › Beds","My Hole in the Wall (Undermine) Stacks Topskimmer (Undermine) 1200 Resonance Crystals","","86408","251911","","2815"
"826","[DNT] Relaxing Goblin Beach Chair with Cup Gripper - DO NOT USE - new asset","Furnishings › Seating","","","","","",""
"827","Rocket-Unpowered Rocket","Miscellaneous › Miscellaneous - All","Right Where We Want Him (Undermine) Stacks Topskimmer (Undermine) 800 Resonance Crystals","","85780","251911","","2815"
"828","Well-Lit Incontinental Loveseat","Furnishings › Seating","Ando the Gat (Liberation of Undermine)","","","235621","",""
"829","Well-Lit Incontinental Couch","Furnishings › Seating","Crafting: Leatherworking Profession: Khaz Algar Leatherworking (80)","","","","1270836",""
"1121","Gallagio L.U.C.K. Spinner","Accents › Ornamental","One Rank Higher Ando the Gat (Liberation of Undermine)","41119","","235621","",""
"1257","Undermine Round Table","Furnishings › Tables and Desks","Smaks Topskimmer (Undermine) 650 Resonance Crystals Stacks Topskimmer (Undermine) 850 Resonance Crystals","","","231409;251911","","2815"
"1258","Undermine Rectangular Table","Furnishings › Tables and Desks","Smaks Topskimmer (Undermine) 700 Resonance Crystals Stacks Topskimmer (Undermine) 900 Resonance Crystals","","","231409;251911","","2815"
"1259","Spring-Powered Undermine Chair","Furnishings › Seating","Rocco Razzboom (Undermine) 450 Resonance Crystals","","","231406","","2815"
"1260","Rusting Bolted Bench","Furnishings › Seating","Crafting: Blacksmithing Profession: Khaz Algar Blacksmithing (80)","","","","1259675",""
"1261","Very Reliable Undermine Lamppost","Lighting › Large Lights","Drop: Undermine Jobs","","","","",""
