"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url","cataclysm_quest_ids","cataclysm_achievement_ids","cataclysm_npc_ids","cataclysm_recipe_spell_ids","cataclysm_drop_signal"
"855","245517","Gilnean Cauldron","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Gilnean Cauldron Accents › Food and Drink Crafting: Alchemy Profession: Cataclysm Alchemy (60)","","","","1261255","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/855/gilnean-cauldron-855/","","","","1261255","False"
"858","245518","Worgen's Chicken Coop","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","3 Worgen's Chicken Coop Structural › Misc Structural Last Meal Lord Candren (Darnassus) 150 +1 more source","","24675","50307","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/858/worgens-chicken-coop-858/","24675","","50307","","False"
"923","245504","Lordaeron Fence","global_acquisition_match","acquisition_cataclysm_confirmed","cataclysm","quest","1 Lordaeron Fence Structural › Misc Structural Lordaeron (Silverpine Forest) Captain Donald Adams (Undercity, Orgrimmar) 127 50","","27098","50304","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/923/lordaeron-fence-923/","27098","","","","False"
"924","245505","Lordaeron Fencepost","global_acquisition_match","acquisition_cataclysm_confirmed","cataclysm","quest","1 Lordaeron Fencepost Structural › Misc Structural Lordaeron (Silverpine Forest) Captain Donald Adams (Undercity, Orgrimmar) 85","","27098","50304","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/924/lordaeron-fencepost-924/","27098","","","","False"
"1281","243335","Tauren Bluff Rug","global_acquisition_match","acquisition_cataclysm_confirmed","cataclysm","quest","3 Tauren Bluff Rug Accents › Floor Walk With The Earth Mother (Mulgore) Brave Tuho (Thunder Bluff) 160","","26397","50483","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1281/tauren-bluff-rug-1281/","26397","","","","False"
"1315","245333","Shadowforge Wooden Box","global_acquisition_match","acquisition_cataclysm_confirmed","cataclysm","quest","1 Shadowforge Wooden Box Furnishings › Storage The Mountain-Lord's Support (Searing Gorge) Master Smith Burninate (Searing Gorge) 150","","28035","14624","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1315/shadowforge-wooden-box-1315/","28035","","","","False"
"1445","244655","Gilnean Circular Rug","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","drop","5 Gilnean Circular Rug Accents › Floor Encounter: Lord Godfrey (Shadowfang Keep)","","","","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1445/gilnean-circular-rug-1445/","","","","","True"
"1481","244777","Surwich Peddler's Wagon","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","5 Surwich Peddler's Wagon Miscellaneous › Miscellaneous - All The Downfall of Marl Wormthorn Maurice Essman (Surwich, Blasted Lands) 1100","","25720","44337","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1481/surwich-peddlers-wagon-1481/","25720","","","","False"
"1793","245602","Gilnean Problem Solver","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","5 Gilnean Problem Solver Accents › Misc Accents Crafting: Engineering Profession: Cataclysm Engineering (60)","","","","1261258","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1793/gilnean-problem-solver-1793/","","","","1261258","False"
"1794","245603","Gilnean Noble's Trellis","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","vendor","3 Gilnean Noble's Trellis Nature › Misc Nature Lord Candren (Ruins of Gilneas) 350 Unknown Vendor (Teldrassil)","","","252520;50307","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1794/gilnean-nobles-trellis-1794/","","","50307","","False"
"1796","245605","Gilnean Stone Wall","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","vendor","1 Gilnean Stone Wall Structural › Misc Structural Lord Candren (Stormwind City) 300 Unknown Vendor (Teldrassil)","","","252520;50307","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1796/gilnean-stone-wall-1796/","","","50307","","False"
"1827","245618","Surwich Expedition Tent","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","5 Surwich Expedition Tent Structural › Large Structures Crafting: Tailoring Profession: Cataclysm Tailoring (60)","","","","1261317","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1827/surwich-expedition-tent-1827/","","","","1261317","False"
"1829","245620","Little Wolf's Loo","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","5 Little Wolf's Loo Structural › Large Structures Ready to Go (Ruins of Gilneas, Gilneas) Lord Candren (Darnassus) 50 +1 more source","","14402","50307","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1829/little-wolfs-loo-1829/","14402","","50307","","False"
"1830","245621","Gilnean Wooden Table","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","3 Gilnean Wooden Table Furnishings › Tables and Desks Crafting: Inscription Profession: Cataclysm Inscription (60)","","","","1261259","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1830/gilnean-wooden-table-1830/","","","","1261259","False"
"1831","245622","Gilnean Wall Shelf","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","3 Gilnean Wall Shelf Furnishings › Storage Crafting: Inscription Profession: Cataclysm Inscription (60)","","","","1261288","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1831/gilnean-wall-shelf-1831/","","","","1261288","False"
"1832","245623","Gilnean Rocking Chair","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","crafted","1 Gilnean Rocking Chair Furnishings › Seating Crafting: Inscription Profession: Cataclysm Inscription (60)","","","","1261278","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1832/gilnean-rocking-chair-1832/","","","","1261278","False"
"1833","245624","Waning Wood Fence","cataclysm_theme","acquisition_cataclysm_confirmed","cataclysm","quest","1 Waning Wood Fence Structural › Misc Structural Cry For The Moon (Duskwood) Wilkinson (Duskwood) 150","","26760","44114","","","","Current acquisition requires Cataclysm content","https://housing.wowdb.com/decor/1833/waning-wood-fence-1833/","26760","","","","False"
